ticker,trade_date,action,trend_judgment,report_action,report_trend_judgment,decision_source,scenario_type,primary_driver,trend_integrity,risk_state,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path,direction_bias,catalyst_state,extension_state,entry_posture
MU,2026-01-20,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,362.75,362.75美元,回调至333-345美元区间（10日EMA下方至近期回调低点区域）分批建仓，第一笔仓位设在340美元附近；若价格进一步回调至315-320美元（跳空缺口与中期核心支撑区），可加大仓位。,333.0,345.0,315.0,['1）若价格放量跌破315美元（1月2日跳空缺口下沿与50日SMA上方核心支撑），中期趋势可能转为震荡或反转，应清仓观望；2）若后续两周价格始终无法守住333美元（近期回调低点与10日EMA下方支撑），短期参与逻辑失效，暂不进场。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\MU\0425-1919-MU\reports\2026-0120-MU\2_decision\summary.md,看多,支撑中,延展,等待回调
MU,2026-01-21,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,365.0,365.00美元,1）价格回踩至10日EMA（约348-355美元）区间、RSI回落至60-65附近时，轻仓试探性参与；2）若价格放量突破并站稳381.56美元（1月20日高点），确认新一轮突破后追入。,348.0,355.0,338.13,['1）跌破10日EMA（348.93美元）且连续2日无法收回，短期趋势转弱；2）跌破338.13美元（1月13日低点），回调深度扩大；3）跌破50日SMA（271.64美元），中期多头结构破坏。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\MU\0425-1919-MU\reports\2026-0121-MU\2_decision\summary.md,看多,支撑中,延展,等待回调
MU,2026-01-22,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,389.11,389.11 美元,等待价格回调至10日EMA附近（357-365美元区间）且出现缩量企稳信号（如成交量萎缩至2500万股以下、小实体K线）后，分批建立初始仓位。若价格直接放量突破布林带上轨398.4美元并站稳，可轻仓追入，止损设在390美元下方。,357.0,365.0,357.8,['价格有效跌破10日EMA（357.8美元）且连续两日无法收回，短期趋势转弱信号，减仓或退出观察；若价格跌破50日SMA（274.8美元），则多头逻辑彻底破坏，清仓离场。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\MU\0425-1919-MU\reports\2026-0122-MU\2_decision\summary.md,看多,支撑中,延展,等待回调
MU,2026-01-23,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,公司催化主导,完整,中,397.58,397.58美元,等待价格回调至340-350美元区间（10日EMA下方至前期整理平台）时，采取分批低吸策略参与。,340.0,350.0,310.0,['日线收盘价有效跌破310美元（1月8日低点下方，接近趋势结构破坏位）。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\MU\0425-1919-MU\reports\2026-0123-MU\2_decision\summary.md,看多,支撑中,延展,等待回调
MU,2026-01-26,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,399.65,399.65 美元,等待价格回调至362-370美元区间（10日EMA及1月21日低点区域）企稳后分批参与；或若价格放量（成交量>45M）有效突破412-415美元（布林带上轨+近期高点），可追涨确认参与。,362.0,370.0,340.0,['日线收盘价跌破340美元（1月12日低点与1月16日启动阳线的中间区域），则短期上升结构可能被破坏；若进一步跌破321美元（1月8日低点），则中期趋势面临风险。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\MU\0425-1919-MU\reports\2026-0126-MU\2_decision\summary.md,看多,消化中,延展,等待回调
MU,2026-01-27,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,389.09,389.09 美元,等待价格回调至350-370美元区间（1月16日突破平台与前期密集区），且出现企稳或放量反弹信号后分批介入。第一进场位365-370美元，第二进场位350-355美元。,350.0,370.0,340.0,['日线收盘跌破340美元（1月12日低点与中期支撑），则短期结构转弱，应暂停买入并观望。若跌破50日SMA（284美元），则中期趋势破坏，信号转向风险主导。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\MU\0425-1919-MU\reports\2026-0127-MU\2_decision\summary.md,看多,支撑中,延展,等待回调
MU,2026-01-28,hold,震荡等待确认,择机买入,趋势延续,rule_based,Beta情绪技术驱动型,多因素混合主导,边际走弱,中,410.24,410.24 美元,等待价格回调至385.00-390.00美元区间（对应10日EMA附近），且RSI回落至65-70区域后，分批建仓。,385.0,390.0,365.0,['价格跌破365.00美元（前期突破平台），且RSI回落至50以下，则多头结构受到破坏，转为观望。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\MU\0425-1919-MU\reports\2026-0128-MU\2_decision\summary.md,中性,支撑中,延展,等待回调
MU,2026-01-29,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,催化剂后高波动整理型,多因素混合主导,完整,中,435.28,435.28美元,等待价格回调至385.00-400.00美元区间（对应10日EMA至1月23日高点-1月27日低点支撑区间），并伴随RSI回落至70以下时，可分批建立仓位（首批30%底仓）。,385.0,400.0,389.0,['1. 收盘价跌破389.00美元（近期关键支撑区下沿），则短期多头结构破坏，观望等待进一步信号。2. 若价格在1-2周内未回调至入场区间，而是放量突破440美元并站稳，则转为等待回调至420-425美元区域再考虑轻仓参与。3. 若任何一天收盘价跌破200日SMA（174.59美元），中长期趋势反转，放弃多头计划。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\MU\0425-1919-MU\reports\2026-0129-MU\2_decision\summary.md,看多,支撑中,延展,等待回调
MU,2026-01-30,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,催化后高波动整理型,多因素混合主导,完整,中,435.79,435.79美元,回调至389-400美元区间（对应10日EMA约399.77美元及1月26日收盘价389.09美元附近），分批建立初始仓位，平均成本控制在400美元以下。,389.0,400.0,365.0,['价格跌破365美元（1月20日收盘价/前期加速起点）且连续两日收于该价位下方，则中期调整开启，原有多头趋势可能转为震荡或反转。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\MU\0425-1919-MU\reports\2026-0130-MU\2_decision\summary.md,看多,支撑中,延展,等待回调
MU,2026-02-02,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,414.88,414.88美元,优先等待价格回调至390-400美元区间（1月26日低点+布林带中轨附近）并出现2-3日缩量企稳信号后分批参与；若价格在10日EMA（约406.68美元）附近缩量横盘1-2日，也可小仓试探。若价格直接放量突破455.50美元并站稳，则等待回踩确认后再加仓。,390.0,400.0,365.0,['价格跌破365.00美元（1月20日收盘价及前期突破平台），则多头结构受损，中期趋势面临转震荡或转空风险；价格在390-400美元区间放量继续下跌，且无法在2-3个交易日内收回，则回调深度可能超出预期；若出现HBM订单被竞争对手分流或3月财报大幅低于预期的明确基本面逆转信号，应中止计划。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\MU\0425-1919-MU\reports\2026-0202-MU\2_decision\summary.md,看多,支撑中,延展,等待回调
