ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,report_path
AXTI,2026-03-02,hold,skipped,,,,,action_hold,,,37.9,当前不建议入场。未来若转多，需要先看到价格有效回调至关键支撑区域（如32.00-33.00美元或28.50-30.00美元）并出现企稳信号，同时基本面出现订单或营收改善的确认。,32.0,33.0,28.4,backtest\output\0420-1250-AXTI\reports\2026-0302-AXTI\2_decision\summary.md
AXTI,2026-03-03,hold,skipped,,,,,action_hold,,,46.32,当前不建议入场。未来若转多，需要先看到：1) 价格有效回调至上述支撑区间并出现缩量止跌或再次放量回升信号；2) 地缘政治主导风险出现明确缓解；3) 市场风险偏好整体修复。,,,28.5,backtest\output\0420-1250-AXTI\reports\2026-0303-AXTI\2_decision\summary.md
AXTI,2026-03-04,hold,skipped,,,,,action_hold,,,41.76,当前不建议入场。未来若转多，需要先看到：1) 价格在关键支撑区域（如36.50-37.00美元或30.80-29.68美元）止跌企稳，且RSI、成交量等动能指标修复；2) 地缘风险明显缓解，半导体板块指数放量突破短期均线压制。,36.5,37.0,29.5,backtest\output\0420-1250-AXTI\reports\2026-0304-AXTI\2_decision\summary.md
AXTI,2026-03-05,hold,skipped,,,,,action_hold,,,39.13,当前不建议入场。未来若转多，需先看到：价格在关键支撑区（如35.08-37.00美元）缩量企稳，且宏观风险（如地缘冲突、油价波动）明显缓解，或公司财报出现积极指引。,35.08,37.0,30.8,backtest\output\0420-1250-AXTI\reports\2026-0305-AXTI\2_decision\summary.md
AXTI,2026-03-06,hold,skipped,,,,,action_hold,,,38.79,当前不建议入场。未来若转多，需要先看到：1）价格在34.20-36.17美元支撑区间内出现缩量止跌的企稳信号；2）宏观负面催化明显缓解（如油价稳定、半导体板块情绪修复）；3）公司基本面出现费用削减的初步证据。届时再重新评估是否具备入场条件。,34.2,36.17,34.2,backtest\output\0420-1250-AXTI\reports\2026-0306-AXTI\2_decision\summary.md
AXTI,2026-03-09,hold,skipped,,,,,action_hold,,,32.37,当前不建议入场。未来若转多，需要先看到：1）价格在29.68-32.50美元区间出现明确的缩量企稳或放量反弹K线组合；2）RSI在50中轴上方重新拐头向上；3）半导体板块整体情绪回暖，且地缘政治负面催化明显缓解。,29.68,32.5,29.5,backtest\output\0420-1250-AXTI\reports\2026-0309-AXTI\2_decision\summary.md
AXTI,2026-03-10,hold,skipped,,,,,action_hold,,,38.56,当前不建议入场。未来若转多，需要先看到：1) 价格在32.26-42.44美元区间内选择向上突破并站稳；2) 行业宏观压制因素（地缘政治、政策风险）明显缓解；3) 公司出现基本面边际改善信号。届时再重新评估具体入场条件。,32.26,42.44,29.68,backtest\output\0420-1250-AXTI\reports\2026-0310-AXTI\2_decision\summary.md
AXTI,2026-03-11,hold,skipped,,,,,action_hold,,,44.3,当前不建议入场。未来若转多，需要同时满足：1) 价格在37.00-39.70美元支撑区域有效企稳并伴随动能修复；2) 宏观地缘政治或行业政策风险出现明确缓解信号。届时再评估是否具备“择机买入”条件。,37.0,39.7,32.37,backtest\output\0420-1250-AXTI\reports\2026-0311-AXTI\2_decision\summary.md
AXTI,2026-03-12,hold,skipped,,,,,action_hold,,,47.36,当前不建议入场。未来若转多，需要先看到：1）价格回调至37-41美元区间并出现缩量企稳信号（如下影线、RSI在50附近获支撑）；2）宏观风险（原油、地缘政治）明显缓解，半导体板块指数（SOXX）止跌回升；3）公司基本面出现毛利率改善或费用控制的初步迹象。,37.0,41.0,32.0,backtest\output\0420-1250-AXTI\reports\2026-0312-AXTI\2_decision\summary.md
AXTI,2026-03-13,hold,skipped,,,,,action_hold,,,46.73,当前不建议入场。未来若转多，需先看到：1) 价格有效回调至38.50–42.50美元区间并出现企稳信号；或 2) 宏观风险明显缓解且价格放量突破50.97美元前高。,38.5,42.5,32.26,backtest\output\0420-1250-AXTI\reports\2026-0313-AXTI\2_decision\summary.md
