sequence,ticker,trade_date,team_id,llm_model,selected_analysts,trace_dir,source_report_dir,report_dir,decision_path,llm_calls,tool_calls,tokens_in,tokens_out,executive_summary
1,2513.HK,2026-03-02,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\2513.HK\0422-2358-2513HK\reports\2026-0302-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0302-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0302-2513HK\2_decision\summary.md,,0,,,"分析日期：2026-03-02
截面日期：2026-02-27
截面价格：575.0港元
样本分型：催化后高波动整理型
主导驱动：催化消化主导
趋势完整性：边际走弱
风险状态：风险主导
趋势判断：风险主导
建议行动：建议卖出
1-2周核心判断：未来1-2周，宏观地缘政治风险（美伊冲突）已主导市场情绪，引发全球避险模式，对港股科技成长股构成强烈压制。同时，标的自身技术面显示短期上涨动能衰竭，价格处于高位震荡且面临巨大乖离率修正压力。公司基本面存在严重流动性风险且缺乏短期催化剂。多因素叠加，未来1-2周更可能以下行、防守或消化涨幅为主。
执行摘要：宏观黑天鹅事件压倒公司微观层面，技术面处于暴涨后的动能衰竭与高波动整理期，基本面无法提供支撑。未来1-2周下行风险显著高于上行机会，建议持仓者优先防守。
关键催化因素：无积极催化剂。潜在正面变化需等待地缘政治局势显著缓和，或公司发布超预期的业务进展与融资利好。
关键风险：1. 地缘政治风险持续或升级，导致全球风险偏好持续受压。2. 技术面存在巨大的均值回归与深度回调压力。3. 公司基本面存在资不抵债、流动性危机及巨额衍生金融负债风险。4. 作为次新股，在市场低迷时可能面临流动性不足与波动加剧问题。
入场方式：不提供新买入计划。对于已有持仓，建议利用任何向阻力区（如670-700港元）的反弹进行减仓或离场。
失效条件：若未来1-2周内，地缘政治局势出现超预期快速缓和，且股价放量强势突破并站稳725港元历史高点，则看跌逻辑失效。但此情景发生概率极低。
适合的场景：极度激进、擅长事件驱动与高风险交易的投资者，试图在宏观局势明朗化前进行波段操作或对冲。
不适合的场景：风险厌恶者、价值投资者、寻求财务稳健或短期确定性的投资者，以及新开仓位的投资者。
证据摘要：1. 宏观：美伊军事冲突升级，引发全球避险情绪，原油黄金暴涨，直接利空港股科技成长股风险溢价。2. 技术：价格经历巨量暴涨后高位震荡，MACD高位钝化拐头，RSI自超买区快速回落，量价背离，短期动能衰竭，存在深度回调至中期均线（约317.7港元）的技术需求。3. 基本面：公司资不抵债，净流动资产为巨额负数，经营现金流持续大幅流出，生存依赖持续融资，缺乏短期基本面改善动力。4. 市场建议：技术报告建议“防守和等待”，新闻报告建议“极度谨慎或观望”，基本面报告建议已持仓者“严格止损”。"
2,2513.HK,2026-03-03,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\2513.HK\0422-2358-2513HK\reports\2026-0303-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0303-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0303-2513HK\2_decision\summary.md,,0,,,"分析日期：2026-03-03
截面日期：2026-03-02
截面价格：550.0港元
样本分型：催化后高波动整理型
主导驱动：催化消化主导
趋势完整性：边际走弱
风险状态：风险与机会拉锯
趋势判断：震荡等待确认
建议行动：保持观望
1-2周核心判断：未来1-2周方向不清晰。技术面处于高位剧烈波动后的整理阶段，关键支撑（525-540港元）与阻力（600-630港元）明确，多空拉锯。宏观层面地缘政治风险主导市场情绪，构成系统性压力，压制了公司层面任何潜在的积极因素。基本面在短期内无法提供支撑。综合来看，上涨与下跌的驱动因素互相抵消，缺乏明确的短期方向指引。
执行摘要：技术趋势长期向上但短期动能衰减，进入高波动整理；宏观地缘风险引发避险情绪，构成主要压制。公司处于信息静默期，缺乏短期催化剂。多空力量在关键价格区间内拉锯，未来1-2周最合理的做法是等待方向确认，不急于押注。
关键催化因素：1. 地缘政治局势意外快速缓和，带动全球风险偏好修复。2. 中国两会期间释放超预期的AI产业支持政策。3. 价格在480-520港元关键支撑带获得强力买盘并企稳。
关键风险：1. 中东地缘冲突扩大或持久化，持续推高市场风险溢价。2. 价格有效跌破470-480港元关键支撑区域，导致技术结构破坏。3. 港股市场流动性因避险情绪而萎缩。
入场方式：当前不急于参与。若未来价格放量突破并站稳630-650港元阻力区，可考虑趋势延续的买入机会。或等待价格深度回调至480-520港元支撑区间并出现企稳信号后再评估。
失效条件：对于潜在的转多机会，失效条件是价格收盘价有效跌破470-480港元支撑带。
适合的场景：能承受极高波动、擅长区间交易并严守纪律的短线交易者；愿意等待宏观风险明朗或公司基本面信号出现后再行动的中期投资者。
不适合的场景：寻求财务稳健、厌恶高风险的价值投资者；希望基于清晰基本面趋势进行投资的投资者；无法承受本金大幅损失的投资者。
证据摘要：1. 技术面：价格自历史高点725港元回落后，在550港元附近（贴近10日EMA）震荡，MACD顶背离，RSI自超买区回落，显示短期上涨动能衰减，进入消化整理阶段。2. 宏观面：美以与伊朗军事冲突升级，主导全球避险情绪，对港股科技股构成系统性抛压。3. 基本面：公司处于战略性亏损阶段，现金流依赖融资，短期内无法提供基本面支撑，且缺乏新的公司特异性催化剂。"
3,2513.HK,2026-03-04,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\2513.HK\0422-2358-2513HK\reports\2026-0304-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0304-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0304-2513HK\2_decision\summary.md,,0,,,"分析日期：2026-03-04
截面日期：2026-03-03
截面价格：528.0港元
样本分型：催化后高波动整理型
主导驱动：催化消化主导
趋势完整性：边际走弱
风险状态：风险与机会拉锯
趋势判断：震荡等待确认
建议行动：保持观望
1-2周核心判断：未来1-2周方向性不足。技术面处于大涨后的高波动消化期，短期动能衰竭，关键支撑（500-508港元）与阻力（560-580港元）明确，价格更可能在此区间震荡。宏观层面因地缘冲突带来显著的避险情绪压制，而公司层面处于信息真空，缺乏对冲风险的催化剂。多空因素（长期趋势完好 vs. 短期调整压力与宏观风险）相互抵消，未来1-2周难以形成明确的单边趋势。
执行摘要：技术面显示股价处于史诗级暴涨后的高波动修正期，长期趋势结构未坏但短期动能衰减。宏观地缘风险（美伊冲突）构成显著的系统性压制，而公司自身无催化剂。多空拉锯，最合理的做法是等待价格在关键支撑区域企稳或宏观局势明朗。
关键催化因素：1. 中国两会释放超预期的AI产业支持政策，可能提振板块情绪。2. 地缘政治局势意外缓和，引发全球风险资产反弹。3. 公司未来发布重大业务进展或财务数据。
关键风险：1. 地缘冲突扩大化或持久化，持续压制港股流动性及成长股风险偏好。2. 价格放量跌破402-408港元关键强支撑区域，导致趋势结构破坏。3. 公司层面持续“静默”，关注度下降。
入场方式：当前不急于参与。若未来价格能回调至402-430港元强支撑区域并出现企稳反弹信号，可考虑分批布局。或等待宏观风险缓和、价格放量突破并站稳560-580港元阻力区后，再评估顺势参与机会。
失效条件：1. 价格放量跌破402港元强支撑且无法快速收回，视为深度调整开始，多头逻辑失效。2. 地缘冲突急剧恶化，导致市场出现系统性恐慌抛售。
适合的场景：适合能忍受极高波动、对AI赛道有长期信仰且擅长波段操作的交易者，在关键支撑位出现明确企稳信号时小仓位试探。
不适合的场景：不适合风险厌恶型、追求稳定盈利或无法理解公司复杂财务结构（巨额衍生负债导致账面权益为负）的投资者；不适合在宏观局势不明或价格处于中间位时重仓追涨。
证据摘要：1. 技术面：长期/中期均线多头排列，趋势结构完好；但MACD顶背离、价格跌破10日EMA、RSI从超买区冷却、ATR极高，显示短期上涨动能衰竭，进入高波动整理。2. 宏观面：美伊军事冲突升级，推升避险情绪，显著压制港股及成长股。3. 公司面：近期无直接运营或财务新闻，处于信息真空，无法提供正面缓冲。4. 综合：技术整理需求与宏观风险压制并存，缺乏明确的短期方向驱动。"
4,2513.HK,2026-03-05,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\2513.HK\0422-2358-2513HK\reports\2026-0305-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0305-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0305-2513HK\2_decision\summary.md,,0,,,"分析日期：2026-03-05
截面日期：2026-03-04
截面价格：510.0港元
样本分型：催化后高波动整理型
主导驱动：催化消化主导
趋势完整性：边际走弱
风险状态：风险与机会拉锯
趋势判断：风险主导
建议行动：建议卖出
1-2周核心判断：未来1-2周，技术面短期趋势已破坏、动量衰竭且处于极端高波动环境，同时宏观地缘政治风险急剧升温，构成显著的系统性压制。在公司自身处于催化真空期、基本面无法提供对冲的背景下，下行与防守需求已占主导。
执行摘要：技术分析显示价格已跌破短期均线，上涨动能衰竭，且处于历史高位波动率中，调整压力显著。新闻分析指出宏观地缘风险（美伊冲突升级）是当前绝对主导因素，压制整体市场风险偏好。基本面显示公司完全依赖融资输血，财务结构脆弱，无法在短期内提供支撑。综合判断，未来1-2周风险主导，应以防守为主。
关键催化因素：1. 地缘政治局势意外缓和；2. 公司发布重大业务进展或强劲财报。
关键风险：1. 美伊冲突持续升级导致全球风险资产抛售；2. 股价跌破500港元后加速下探中期均线支撑；3. 公司融资环境恶化。
入场方式：对于已有持仓者，利用任何向578-592港元阻力区域的反弹机会减仓；或设置紧密止损于495港元下方。
失效条件：股价放量强势突破并站稳592港元阻力区上方，且美伊冲突出现明确缓和信号，则下跌风险缓解。
适合的场景：高风险偏好投资者进行波段减仓或止损；短线交易者基于极高波动率进行区间操作（严格止损）。
不适合的场景：基于长期看好或估值修复逻辑的新建仓；任何形式的追涨买入。
证据摘要：1. 技术面：价格跌破10日EMA，MACD与RSI动量衰减，ATR处于极端高位，结构转弱。2. 新闻面：公司无新催化剂，宏观地缘风险（美伊冲突）显著利空，主导市场情绪。3. 基本面：经营现金流严重为负，生存依赖融资，财务风险高，短期内无法对冲宏观与技术面风险。"
5,2513.HK,2026-03-06,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\2513.HK\0422-2358-2513HK\reports\2026-0306-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0306-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0306-2513HK\2_decision\summary.md,,0,,,"分析日期：2026-03-06
截面日期：2026-03-05
截面价格：520.00港元
样本分型：催化后高波动整理型
主导驱动：催化消化主导
趋势完整性：边际走弱
风险状态：风险与机会拉锯
趋势判断：震荡等待确认
建议行动：保持观望
1-2周核心判断：未来1-2周方向性不足。股价在经历极端上涨后，正处于高位高波动消化阶段。技术面呈现长期趋势完好但短期动能衰减、关键支撑与阻力拉锯的格局，而宏观面虽有政策暖风但缺乏公司特异性催化。多空因素相互抵消，价格更可能在500-560港元区间震荡，以等待更明确的企稳或破位信号。
执行摘要：该股处于史诗级上涨后的高位整理阶段。技术结构上，价格暂守500-510港元关键支撑，但短期动量衰减且波动率极高。宏观政策环境偏暖，但无公司层面催化。综合来看，未来1-2周最合理的判断是区间震荡，缺乏明确的单边方向，宜保持观望。
关键催化因素：1. 宏观层面“更加积极的财政政策和适度宽松的货币政策”定调，改善市场整体风险偏好。2. 价格在500-510港元关键支撑区域出现缩量企稳并伴随阳线反弹。3. 公司层面后续若发布超预期的订单、业绩或融资进展。
关键风险：1. 技术面500-510港元关键支撑带被放量跌破，引发更深回调。2. 公司极端脆弱的财务状况（资不抵债、现金流断裂风险）始终构成压制。3. 市场波动率（ATR）处于历史峰值，交易风险极高。
入场方式：当前不急于开仓。若未来价格放量站稳560港元（突破近期震荡区间上沿且10日EMA转升），可考虑转向偏多。若价格在500-510港元支撑带出现明确缩量企稳的K线组合，也可作为潜在转多观察点。
失效条件：对于潜在多头观点，日线收盘价明确跌破500港元支撑位即为失效。
适合的场景：适合能承受极高波动、擅长区间交易且对风险极度敏感的交易者进行小仓位高抛低吸；或作为宏观Beta交易的一部分进行极小仓位配置。
不适合的场景：不适合追求稳定收益的价值投资者、低风险偏好者以及寻求明确趋势方向的中线投资者。
证据摘要：1. 技术面：价格远高于长中期均线，长期趋势结构完好，但短期价格略低于10日EMA，MACD连续下降，RSI自超买区回落，显示动能衰减。关键支撑500-510港元，关键阻力560-575港元。ATR处于历史峰值，波动极大。2. 基本面：公司处于“战略性亏损”阶段，营业额7.24亿元但净亏损巨大，资不抵债，现金流高度依赖融资，财务风险极高，短期内无法提供上涨动力。3. 新闻面：无公司特异性催化，宏观政策环境偏暖但对个股驱动间接，股价缺乏自身阿尔法驱动。"
6,2513.HK,2026-03-09,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\2513.HK\0422-2358-2513HK\reports\2026-0309-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0309-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0309-2513HK\2_decision\summary.md,,0,,,"分析日期：2026-03-09
截面日期：2026-03-06
截面价格：532.0港元
样本分型：催化后高波动整理型
主导驱动：多因素混合主导
趋势完整性：边际走弱
风险状态：风险与机会拉锯
趋势判断：震荡等待确认
建议行动：保持观望
1-2周核心判断：未来1-2周方向性不足。技术面呈现高位震荡整理，关键支撑（500-510港元）与阻力（628-666港元）明确，但动量背离且波动率高。宏观面地缘政治危机引发系统性风险厌恶情绪，构成重大压制。公司基本面信息真空且财务风险极高，无法提供对冲。多空因素（技术支撑 vs 宏观风险与动量背离）相互抵消，未来1-2周更可能呈现区间震荡，缺乏明确的单边驱动。
执行摘要：技术趋势边际走弱但未破坏，处于高位消化阶段；宏观风险事件成为主导叙事，但股价尚未跌破关键支撑。公司基本面无法提供短期支撑。多空拉锯，最合理的做法是等待方向确认。
关键催化因素：1. 地缘政治局势意外缓和与油价大幅回落，可能引发全球风险资产反弹。2. 股价放量强势突破628-666港元阻力区，并带动MACD指标重新转强。
关键风险：1. 中东冲突升级或持续，油价高企引发更广泛的“滞胀”交易和系统性抛售。2. 股价收盘有效跌破500-510港元关键支撑区，导致技术调整加深。3. 公司层面持续信息真空，在宏观动荡中更易被无差别抛售。
入场方式：当前不急于参与。若未来转多，需观察：1. 宏观风险缓和（如油价稳定回落）且股价在500-510港元支撑带企稳后，可考虑分批买入。2. 或股价带量突破628-666港元阻力区后，再行跟进。
失效条件：若转多信号出现，则失效条件为：股价收盘价有效跌破480-500港元支撑区。
适合的场景：能承受极高波动、擅长区间交易且紧密跟踪宏观地缘事件的短线交易者；已有持仓且能严格执行止损的投资者进行持仓观察。
不适合的场景：寻求财务稳健、厌恶高风险和基本面瑕疵的价值投资者；风险偏好较低或无法实时跟踪宏观局势与油价波动的投资者；新投资者试图抄底或进行中长期配置。
证据摘要：1. 技术面：价格自历史高点回撤超26%，MACD顶背离，但关键支撑500-510港元未破，均线仍呈多头排列，属强势趋势下的高位整固。2. 宏观面：美伊以军事冲突升级，油价暴涨，引发全球性Risk-off情绪，构成系统性利空。3. 基本面：公司信息真空，2025财年资不抵债，经营现金流巨幅流出，财务风险极高，无法提供短期基本面支撑。"
7,2513.HK,2026-03-10,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\2513.HK\0422-2358-2513HK\reports\2026-0310-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0310-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0310-2513HK\2_decision\summary.md,,0,,,"分析日期：2026-03-10
截面日期：2026-03-09
截面价格：575.0美元
样本分型：催化后高波动整理型
主导驱动：Beta与技术结构主导
趋势完整性：边际走弱
风险状态：风险与机会拉锯
趋势判断：趋势延续
建议行动：择机买入
1-2周核心判断：未来1-2周方向仍偏多，但并非单边上涨。技术面显示，在经历史诗级上涨后，股价进入高位震荡整理，长期与中期趋势结构依然强劲，关键支撑位（500-510，480-482）多次测试有效。尽管短期动量衰减、波动率极高，但报告核心建议是“回调至支撑区间参与”或“突破阻力确认后跟进”，而非转向防守或离场。结合新闻面缺乏公司催化但宏观多空交织的背景，价格行为更可能由技术结构主导，在消化涨幅后延续原趋势。
执行摘要：技术结构显示长期趋势强劲，但短期处于高波动整理。核心策略是等待回调至关键支撑区间企稳后参与，或放量突破阻力后右侧跟进，避免追高。
关键催化因素：技术面关键支撑位（500-510美元）的有效性及买盘承接；潜在放量突破625-672.5美元阻力区可能开启向725美元前高的行情。
关键风险：极端高波动率（ATR达83.12）带来的巨大日内波动风险；MACD高位回落与价格形成潜在顶背离，显示上涨动量衰减；宏观地缘政治风险（中东冲突）可能压制整体市场风险偏好。
入场方式：等待价格回调至500-520美元支撑区间企稳后轻仓试多；或价格放量突破625美元后右侧跟进。
失效条件：价格放量跌破480美元关键支撑位并无法快速收回。
适合的场景：高风险偏好投资者；能承受高波动、采用严格止损和仓位管理的波段交易者；相信原技术趋势在整理后有望延续的参与者。
不适合的场景：低风险偏好或厌恶高波动的投资者；追求稳定分红和盈利的价值投资者；无法严格执行止损纪律的交易者。
证据摘要：技术面显示长期与中期均线多头排列强劲，价格远高于均线；关键支撑位500-510及480-482美元区域经受多次测试后反弹，显示买盘承接；报告明确交易建议为“回调参与”和“突破跟进”，核心是寻找更好位置参与多头而非转向观望或卖出；新闻面缺乏公司催化，宏观多空拉锯，价格行为由技术结构主导；基本面显示公司处于高投入亏损期，但现金储备充裕，为高波动交易提供题材背景。"
8,2513.HK,2026-03-11,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\2513.HK\0422-2358-2513HK\reports\2026-0311-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0311-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0311-2513HK\2_decision\summary.md,,0,,,"分析日期：2026-03-11
截面日期：2026-03-10
截面价格：649.0港元
样本分型：催化后高波动整理型
主导驱动：多因素混合主导
趋势完整性：边际走弱
风险状态：风险与机会拉锯
趋势判断：震荡等待确认
建议行动：保持观望
1-2周核心判断：未来1-2周方向性不足。技术面呈现暴涨后的高位巨震格局，动量衰减且偏离均线过大，存在强烈回调需求；宏观面因地缘冲突升级而风险急剧升温，压制整体风险偏好。公司层面信息真空，无法提供对冲或催化。多空因素（技术整固需求 vs 宏观风险压制）相互抵消，最合理的判断是等待更多信息确认方向。
执行摘要：技术面建议仅回调参与，宏观风险主导情绪，公司信息缺失。在“高波动整理”与“外部风险冲击”叠加下，未来1-2周缺乏明确的单边驱动，宜观望。
关键催化因素：1. 公司层面发布超预期业绩或重大业务进展；2. 美伊地缘政治冲突出现明确缓和信号；3. 股价回调至关键支撑区（如510-520港元）并出现企稳放量信号。
关键风险：1. 美伊冲突升级引发全球市场恐慌及资金撤离风险；2. 股价高波动及技术性回调风险（ATR高达85港元）；3. 公司信息真空下的未知基本面风险；4. 流动性枯竭风险。
入场方式：当前不急于参与。若未来转多，需满足：宏观风险缓和（如冲突降级）且股价在510-520港元关键支撑区企稳并放量。若未来转空，触发条件为股价放量跌破490-500港元支撑平台下沿。
失效条件：1. （转多条件失效）股价未能在支撑区企稳并放量，反而跌破490港元。2. （转空条件失效）地缘风险迅速缓和，同时股价放量突破并站稳725港元前高。
适合的场景：能够忍受极高不确定性、擅长事件驱动交易、并愿意在双重信息缺失（公司+宏观）下等待极端价格出现的激进交易者。
不适合的场景：寻求明确基本面支撑或趋势跟随的投资者；风险厌恶型投资者；无法紧密跟踪地缘政治新闻头条和盘面波动的交易者。
证据摘要：1. 技术面：价格经历214至649港元的极端拉升后高位巨震，MACD顶背离，RSI宽幅震荡，布林带极度扩张，显示动量衰减与高波动整理特征。报告核心建议为“仅适合回调参与”，非趋势起点。2. 宏观面：美伊军事冲突显著升级，推高全球风险溢价，构成强烈外部风险。3. 基本面：公司处于战略亏损期，无近期催化，信息真空，无法对冲宏观风险。4. 综合：技术整固需求与外部风险压制形成拉锯，方向不明。"
9,2513.HK,2026-03-12,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\2513.HK\0422-2358-2513HK\reports\2026-0312-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0312-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0312-2513HK\2_decision\summary.md,,0,,,"分析日期：2026-03-12
截面日期：2026-03-11
截面价格：609.5美元
样本分型：催化后高波动整理型
主导驱动：催化消化主导
趋势完整性：边际走弱
风险状态：风险与机会拉锯
趋势判断：震荡等待确认
建议行动：保持观望
1-2周核心判断：未来1-2周方向性不足。技术面呈现高位整理、动能衰减特征，但关键支撑（560-575美元）尚未跌破，长期趋势结构仍在。宏观面因地缘冲突升级带来系统性风险，而公司层面缺乏利好对冲。多空因素（技术支撑 vs 宏观风险与短期动能减弱）相互抵消，导致未来1-2周更可能呈现区间震荡格局，而非明确的单边方向。
执行摘要：技术分析显示股价在经历极端放量上涨后进入高位震荡，短期动能衰减但关键支撑未破。宏观地缘风险（美伊冲突升级）急剧升温，构成显著下行压力，而公司层面无新闻对冲。多空拉锯下，未来1-2周最合理的策略是等待方向明朗。
关键催化因素：1. 地缘政治局势意外快速缓和，将系统性提振风险偏好。2. 公司发布重大利好（如超预期营收增长、新融资进展），形成个体阿尔法。3. 股价在560-575美元关键支撑带企稳并伴随看涨技术信号。
关键风险：1. 地缘冲突进一步扩散或升级，引发全球风险资产无差别抛售。2. 股价放量跌破510-520美元第二支撑区，威胁中期趋势。3. 公司融资环境恶化或巨额衍生负债问题曝出。
入场方式：当前不急于参与。若转向偏多，需等待：1. 地缘风险出现明确缓和信号，且股价在560-575美元支撑带企稳反弹。若转向偏空，触发条件为：股价放量跌破510-520美元支撑区。
失效条件：1. （观望转多失效条件）股价未能在560-575美元区域获得支撑，直接放量跌破510美元。2. （观望转空失效条件）地缘风险迅速缓和，同时股价强势放量突破650-670美元阻力区并站稳。
适合的场景：接受高波动、擅长事件驱动和区间交易、能严格执行纪律的投资者，在当前区间（510-670美元）内进行高抛低吸的短线交易。
不适合的场景：寻求稳定基本面支撑、低风险偏好、希望进行中长期配置或趋势跟踪的投资者。
证据摘要：1. 技术面：长期均线多头排列，但价格自高点回落，跌破10日EMA，MACD柱状线收缩，RSI自超买区回落，显示短期动能衰减；关键支撑在560-575美元。2. 宏观面：美伊冲突升级，伊朗宣布采取更主动打击策略，全球避险情绪升温，系统性风险主导市场情绪。3. 基本面：公司处于高成长高亏损阶段，营收加速增长但财务结构风险极高，近期无公司层面新闻，无法对冲宏观风险。4. 报告建议：技术报告建议“回调参与”，明确反对追高；新闻报告建议“极度谨慎，观望为主”；基本面报告建议投机者谨慎持有但必须止损，新投资者回避。综合判断为多空拉锯，方向不清晰。"
10,2513.HK,2026-03-13,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\2513.HK\0422-2358-2513HK\reports\2026-0313-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0313-2513HK,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\2513.HK\0423-1151-2513HK\reports\2026-0313-2513HK\2_decision\summary.md,,0,,,"分析日期：2026-03-13
截面日期：2026-03-12
截面价格：555.5港元
样本分型：Beta情绪技术驱动型
主导驱动：Beta与技术结构主导
趋势完整性：边际走弱
风险状态：风险主导
趋势判断：风险主导
建议行动：建议卖出
1-2周核心判断：未来1-2周，在宏观地缘政治风险急剧升温（美伊冲突、石油供应梗阻引发滞胀担忧）主导市场情绪的背景下，公司层面缺乏任何积极催化剂进行对冲。技术面显示短期趋势已转弱（跌破10日EMA），价格处于高位回调阶段。尽管长期均线支撑尚远，但宏观风险已压倒技术结构，预计股价将被动跟随港股市场承受下行压力，防守需求明确。
执行摘要：宏观风险事件成为唯一主导变量，公司新闻真空且基本面呈现资不抵债、现金流断裂的高风险特征。技术面短期转弱，处于高位回调。综合判断未来1-2周下行风险占优，应以避险为主。
关键催化因素：无正面公司催化。潜在的正面变化需等待地缘政治冲突显著缓和或公司发布超预期基本面利好。
关键风险：宏观地缘政治风险导致全球避险情绪蔓延；公司资不抵债，经营现金流严重失血，生存依赖持续融资；技术面短期趋势破位，高波动性加剧下跌风险。
入场方式：不提供新买入计划。对于已有持仓，建议利用任何向技术阻力位（如610-628港元区间）的反弹进行减仓，以控制风险敞口。
失效条件：若未来1-2周内，美伊冲突出现明确且快速的降温信号（如双方停火谈判），同时港股市场风险偏好整体修复，且股价能强势收复并站稳短期均线（如10日EMA）之上，则下行风险逻辑可能被打破。
适合的场景：高风险偏好投资者进行波段做空交易（需注意极高波动性）；已有持仓者执行风险控制与减仓。
不适合的场景：任何形式的抄底或新建多头仓位；寻求财务稳健或价值投资的投资者参与。
证据摘要：1. 新闻报告指出宏观地缘政治风险（美伊冲突）是当前主导市场的唯一关键变量，公司层面无任何利好对冲。2. 技术报告确认价格跌破短期关键均线（10日EMA），上涨动能衰减，进入高位回调，并提示高波动风险。3. 基本面报告揭示公司资不抵债，经营现金流巨额净流出，财务风险极高，无法提供基本面支撑。"
