ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,report_path
AXTI,2026-03-02,buy_on_pullback,triggered,2026-03-06,34.8,2026-04-17,82.56,window_end,42.0,137.2414,37.9,更适合回调参与。重点关注 **32.00 - 34.80美元** 支撑区间（前期平台与10日EMA重合区），若出现缩量止跌等企稳信号，可考虑分批轻仓介入，并设置严格止损。,32.0,34.8,22.19,backtest\output\0419-2322-AXTI\reports\2026-0302-AXTI\2_decision\summary.md
AXTI,2026-03-03,buy_on_pullback,triggered,2026-03-04,37.9,2026-04-17,82.56,window_end,44.0,117.8364,46.32,回调参与。避免在当前高位追涨。更适合等待价格回调至关键技术支撑区域（第一区间37.90-35.08美元，第二区间29.68美元附近），观察企稳信号（如下影线、缩量）及宏观风险未恶化时，分批轻仓介入。,35.08,37.9,29.68,backtest\output\0419-2322-AXTI\reports\2026-0303-AXTI\2_decision\summary.md
AXTI,2026-03-04,buy_on_pullback,triggered,2026-03-05,37.9,2026-04-17,82.56,window_end,43.0,117.8364,41.76,回调参与。更适合等待价格回调至技术分析报告指出的关键支撑区域（首选36.60-37.90美元，次选28.50-30.00美元）附近，并观察企稳信号后分批介入。,36.6,37.9,28.43,backtest\output\0419-2322-AXTI\reports\2026-0304-AXTI\2_decision\summary.md
AXTI,2026-03-05,buy_on_pullback,triggered,2026-03-06,36.5,2026-03-06,35.0,stop_loss,0.0,-4.1096,39.13,回调参与。更适合等待价格回调至35.00-37.50美元的关键支撑区间，并出现缩量止跌或看涨形态后，分批轻仓介入。,35.0,37.5,35.0,backtest\output\0419-2322-AXTI\reports\2026-0305-AXTI\2_decision\summary.md
AXTI,2026-03-06,buy_on_pullback,triggered,2026-03-09,34.2,2026-04-17,82.56,window_end,39.0,141.4035,38.79,回调参与。不适合追涨。理想的参与区间为技术分析指出的 **34.20-36.70美元**（第一支撑区）及更具吸引力的 **29.70-31.00美元**（接近50日均线）。应分批入场并严格设置止损。,34.2,36.7,29.5,backtest\output\0419-2322-AXTI\reports\2026-0306-AXTI\2_decision\summary.md
AXTI,2026-03-09,buy_on_pullback,expired,,,,,entry_not_triggered,,,32.37,回调参与。更适合等待价格回调至29.68-32.26美元支撑区间并出现企稳信号（如缩量、小周期看涨形态）后分批介入。,29.68,32.26,29.68,backtest\output\0419-2322-AXTI\reports\2026-0309-AXTI\2_decision\summary.md
AXTI,2026-03-10,buy_on_pullback,expired,,,,,entry_not_triggered,,,38.56,回调参与。严禁追高。更合理的参与方式是等待价格回调至**35.08-36.17**或**32.26-33.00**支撑区间，并出现缩量企稳或看涨形态信号后，再考虑分批轻仓介入。,35.08,36.17,1.0,backtest\output\0419-2322-AXTI\reports\2026-0310-AXTI\2_decision\summary.md
AXTI,2026-03-11,buy_on_pullback,triggered,2026-04-06,40.0,2026-04-17,82.56,window_end,11.0,106.4,44.3,回调参与。理想的入场区间为38.50-40.00美元区域（该区域包含10日EMA及近期震荡平台下沿），应避免在当前44.30美元附近追高。,38.5,40.0,32.26,backtest\output\0419-2322-AXTI\reports\2026-0311-AXTI\2_decision\summary.md
AXTI,2026-03-12,buy_on_pullback,expired,,,,,entry_not_triggered,,,47.36,回调参与。明确等待价格回调至37.00-39.00美元关键支撑区间，观察缩量、企稳等信号后分批买入。避免在当前价格（47.36美元附近）追高。,37.0,39.0,32.26,backtest\output\0419-2322-AXTI\reports\2026-0312-AXTI\2_decision\summary.md
AXTI,2026-03-13,buy_on_pullback,expired,,,,,entry_not_triggered,,,46.73,回调参与。明确等待价格回调至关键支撑区域，重点关注 **37-39美元**（强支撑平台）和 **42-44美元**（短期趋势支撑）两个区间，可考虑分批建仓。,37.0,39.0,32.26,backtest\output\0419-2322-AXTI\reports\2026-0313-AXTI\2_decision\summary.md
AXTI,2026-03-16,buy_on_pullback,triggered,2026-04-02,43.5,2026-04-17,82.56,window_end,15.0,89.7931,48.86,回调参与或等待确认。更合理的参与方式有两种：(1) 耐心等待价格回调至43.50-40.00美元区间并出现企稳信号后分批介入；(2) 若价格放量强势突破并站稳51.98美元前高，可考虑轻仓追进。均需设置明确止损。,40.0,43.5,37.6,backtest\output\0419-2322-AXTI\reports\2026-0316-AXTI\2_decision\summary.md
AXTI,2026-03-17,buy_on_pullback,triggered,2026-04-02,44.52,2026-04-17,82.56,window_end,15.0,85.4447,48.39,回调参与。避免在当前价位买入。更合理的参与方式是等待股价回调至44.00-45.00美元近期支撑带或更理想的38.50-40.00美元中期支撑区域，并观察企稳信号后，方可考虑分批轻仓介入。,44.0,45.0,38.5,backtest\output\0419-2322-AXTI\reports\2026-0317-AXTI\2_decision\summary.md
AXTI,2026-03-18,buy_on_pullback,triggered,2026-04-06,42.0,2026-04-17,82.56,window_end,11.0,96.5714,44.36,回调参与。避免在当前价格追高。应耐心等待股价回调至38.50-42.00的关键支撑区间，并观察企稳信号（如缩量、下影线、指标背离）后，考虑分批建仓。,38.5,42.0,,backtest\output\0419-2322-AXTI\reports\2026-0318-AXTI\2_decision\summary.md
AXTI,2026-03-19,buy_on_pullback,triggered,2026-04-02,44.52,2026-04-02,44.0,stop_loss,0.0,-1.168,48.76,回调参与。严禁追涨。更合理的参与方式是等待价格回调至关键支撑区域（如44.00-45.00美元短期平台或37.00-39.00美元中期强支撑）并出现企稳信号后介入。,44.0,45.0,44.0,backtest\output\0419-2322-AXTI\reports\2026-0319-AXTI\2_decision\summary.md
