ticker,trade_date,action,trend_judgment,report_action,report_trend_judgment,decision_source,scenario_type,primary_driver,trend_integrity,risk_state,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path,direction_bias,catalyst_state,extension_state,entry_posture
2513.HK,2026-03-02,sell,风险主导,建议卖出,风险主导,rule_based,Beta情绪技术驱动型,Beta与技术结构主导,边际走弱,高,575.0,575.0 港元,已有持仓者：建议在反弹至阻力区（670-700港元）时减仓，或跌破10日EMA（约525港元）时止损离场。,670.0,700.0,,['收盘价站稳600港元且MACD重新拐头向上；中东局势出现明确停火信号且港股科技板块放量反弹；公司发布重大业务进展或融资利好。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0302-2513HK\2_decision\summary.md,看空,缺位,延展,暂不参与
2513.HK,2026-03-03,sell,风险主导,建议卖出,风险主导,rule_based,Beta情绪技术驱动型,多因素混合主导,完整,高,550.0,550.0港元,按已有持仓视角，建议在550.0港元附近或反弹至600港元区域分批减仓，降低风险敞口。,,,,['若价格收盘有效站上630港元并伴随成交量放大，则短期下行风险解除；若中东局势显著缓和且RSI守稳50中轴，可转为观望。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0303-2513HK\2_decision\summary.md,看空,缺位,延展,暂不参与
2513.HK,2026-03-04,hold,震荡等待确认,保持观望,震荡等待确认,rule_based,催化后高波动整理型,多因素混合主导,边际走弱,高,528.0,528.0 港元,当前不参与。未来转多信号：价格在402-460港元关键支撑区企稳并放量突破560-580阻力区，或地缘风险显著缓和、公司发布积极基本面更新。,402.0,460.0,,['价格有效跌破402港元强支撑，则中期趋势结构可能破坏；若地缘冲突持续升级导致全球市场流动性危机，则现有观望逻辑失效。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0304-2513HK\2_decision\summary.md,中性,消化中,延展,暂不参与
2513.HK,2026-03-05,sell,风险主导,建议卖出,风险主导,rule_based,催化后高波动整理型,Beta与技术结构主导,边际走弱,高,510.0,510.0 港元,已有持仓者应在反弹至578-592港元阻力区附近减仓，或设立止损位在500港元下方（如495港元）。,578.0,592.0,,['1）价格放量站稳10日EMA（约522港元）之上；2）宏观地缘风险明确缓和信号出现；3）公司发布重大基本面利好。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0305-2513HK\2_decision\summary.md,看空,缺位,延展,暂不参与
2513.HK,2026-03-06,hold,震荡等待确认,保持观望,震荡等待确认,rule_based,催化后高波动整理型,多因素混合主导,边际走弱,高,520.0,520.00 港元,当前不适合入场。需等待以下信号之一触发：1）价格在500-510港元区域出现缩量止跌并伴随阳线反弹；2）放量重新站稳560港元且MACD柱线重新向上扩张。,500.0,510.0,1.0,['日线收盘明确跌破500港元且无法1-3日内收回，则趋势结构可能破坏，后续以防守为主。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0306-2513HK\2_decision\summary.md,中性,消化中,延展,暂不参与
2513.HK,2026-03-09,sell,风险主导,建议卖出,风险主导,rule_based,催化后高波动整理型,Beta与技术结构主导,边际走弱,高,532.0,532.0 港元,已有持仓者：建议在530-550港元区域减仓或平仓，将止损位严格设置在500港元下方。若价格反弹至580港元以上且无法放量突破，可视为第二次减仓机会。禁止新开多头仓位。,530.0,550.0,,['若价格放量收复并站稳580港元（短期均线及密集成交区上沿），且中东局势出现明确缓和信号，则信号失效，可暂停卖出动作并重新评估。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0309-2513HK\2_decision\summary.md,看空,缺位,延展,暂不参与
2513.HK,2026-03-10,hold,震荡等待确认,保持观望,震荡等待确认,rule_based,Beta情绪技术驱动型,多因素混合主导,边际走弱,高,575.0,575.00 美元,当前不参与。未来若价格放量突破并站稳625-672.5阻力区，可视为右侧偏多触发信号，届时再评估入场；或等待价格回落至500-520支撑区间并出现明确企稳信号（如长下影线、阳包阴），可考虑轻仓试多。,625.0,672.5,,['若价格放量跌破480关键支撑且无法快速收回，则震荡格局可能向下破位，观望立场失效，转为风险主导，应避免任何多头动作。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0310-2513HK\2_decision\summary.md,中性,缺位,延展,暂不参与
2513.HK,2026-03-11,sell,风险主导,建议卖出,风险主导,rule_based,Beta情绪技术驱动型,多因素混合主导,边际走弱,高,649.0,649.0港元,当前不建议新买入。已有持仓者：1）可将止损位设在510-520港元支撑区域下方（例如490港元）；2）或直接在当前649港元附近减仓部分仓位以降低暴露。,510.0,520.0,490.0,['1）价格放量跌破490-500港元（关键支撑平台下沿）且10日EMA拐头向下，确认趋势转空；2）ATR若持续高于85港元且价格无法站稳10日EMA（564港元），短期结构恶化。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0311-2513HK\2_decision\summary.md,看空,缺位,延展,暂不参与
2513.HK,2026-03-12,hold,震荡等待确认,保持观望,震荡等待确认,rule_based,催化后高波动整理型,多因素混合主导,完整,高,609.5,609.50 美元,当前不建议入场。未来转为偏多的可能条件包括：价格在560-575支撑区放量企稳且地缘冲突出现明确缓和信号；或公司发布重大利好公告配合技术面突破708-725阻力区。届时可考虑分批参与。,560.0,575.0,510.0,['1. 信号切换至偏空的条件：价格放量跌破510-520支撑区，或公司曝出融资断裂/衍生负债负面新闻，或地缘冲突出现进一步重大升级。2. 信号切换至偏多的条件：上述入场方式中的条件均有明确迹象出现。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0312-2513HK\2_decision\summary.md,中性,消化中,延展,等待确认
2513.HK,2026-03-13,sell,风险主导,建议卖出,风险主导,rule_based,Beta情绪技术驱动型,多因素混合主导,边际走弱,高,555.5,555.5港元,建议已有持仓者在反弹至610-628港元阻力区或跌破545港元关键支撑时执行减仓/止损；若未持仓，暂不进行任何买入操作。,610.0,628.0,510.0,['价格有效跌破关键支撑位510-528港元，则确认短期下行趋势加速，应进一步减仓；若收盘价持续站稳610港元以上且成交量放大，可重新评估信号。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round28\reports\2513.HK\0424-2213-2513HK\reports\2026-0313-2513HK\2_decision\summary.md,看空,缺位,延展,暂不参与
