ticker,trade_date,action,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
AAOI,2026-03-02,sell,84.23,84.23美元,（已有持仓视角）在当前位置（84美元附近）部分获利了结，例如减持1/3至1/2仓位；剩余仓位可设置移动止损于关键支撑区下沿（如53美元下方）以保护盈利。不再新建多头仓位。,1.0,3.0,1.0,"['1. 价格在未来1-2周内持续站稳84.31美元前高上方并放量突破90美元，表明超买状态通过横盘消化而非回调。', '2. 宏观风险显著缓和（如地缘局势明朗、市场恐惧指数回到中性），且AAOI股价在80美元以上缩量整理，拒绝回调。', '适合的场景**', '1. 已有持仓的投资者执行减仓、止盈或防守性调仓。', '2. 看空短期技术修复的激进交易者（需注意公司基本面强劲，深跌可能有限）。', '不适合的场景**', '1. 无持仓者试图抄底或新建多头仓位。', '2. 长期投资者忽视短期波动而继续持有（本判断仅针对未来1-2周）。', '证据摘要**', '1. **技术结构**：价格单日暴涨56.9%后极端超买（RSI 84.75），远离均线，缺口回补概率高，短期回调压力占主导。', '2. **新闻/宏观**：公司Q4业绩与指引强劲，但宏观地缘政治风险压制风险偏好，形成对冲；股价已大幅反应利好，短期缺乏新催化剂。', '3. **基本面**：营收高增长与毛利率改善提供中长期支撑，但未来1-2周内无法抵消技术回调与宏观风险带来的下行压力。', '4. **整体逻辑**：短期更偏向“防守”而非“顺势”或“等待”。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round07\reports\AAOI\0422-0055-AAOI\reports\2026-0302-AAOI\2_decision\summary.md
AAOI,2026-03-03,sell,102.51,102.51 美元,（基于已有持仓视角）,,,1.0,"['1. 价格在未来1-2周内强势站稳110美元并继续放量新高，表明回调压力被买盘完全消化。', '2. 宏观风险迅速缓和且公司发布新的重大订单利好，推动股价拒绝回调。', '适合的场景**', '1. 已有大幅浮盈的持仓者锁定利润、降低风险暴露。', '2. 风险厌恶型投资者规避高波动标的。', '3. 等待更深回调后再考虑参与的左侧观察者。', '不适合的场景**', '1. 试图在当前价位追涨或新建多头仓位。', '2. 基于长期增长叙事而忽视短期技术风险的“买入并持有”策略。', '证据摘要**', '1. 技术面：RSI 77.09严重超买，价格偏离10日均线约45%，布林带极度扩张，显示短期回调需求强烈。', '2. 新闻面：财报利好已充分反应，地缘政治风险压制整体风险偏好，增加科技股波动。', '3. 基本面：收入增长虽亮眼（同比+83%），但经营现金流为-1.74亿美元，亏损持续，现金流风险突出。', '4. 综合状态：短期价格已过度透支乐观预期，未来1-2周下行风险占主导。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round07\reports\AAOI\0422-0055-AAOI\reports\2026-0303-AAOI\2_decision\summary.md
AAOI,2026-03-04,buy_on_pullback,95.34,95.34美元,回调分批参与。重点关注两个支撑区域：,,,45.59,"['1.  价格**放量跌破**2月27日跳空缺口的**下沿65.57美元**，且当日无法收回。', '2.  价格跌破**50日SMA（45.59美元）** 并确认有效破位。', '3.  出现破坏基本面前景的重大负面新闻（如核心客户订单取消、Q1业绩指引大幅下调）。', '适合的场景**', '- 相信公司已进入高增长周期，并愿意为高增长潜力承担高波动风险的成长型投资者。', '- 擅长利用技术性回调进行波段操作的交易者。', '- 已有底仓，寻求回调加仓的投资者。', '不适合的场景**', '- 风险厌恶型、追求稳定现金流的投资者。', '- 无法承受短期内股价从当前点位再下跌20%-30%剧烈波动的交易者。', '- 期望立即追涨并获取短期快钱的短线投机者。', '证据摘要**', '1.  **基本面根本性改善**：Q4营收同比暴增82.7%，毛利率提升至30%，Q1指引乐观，触发价值重估。', '2.  **技术趋势完好**：所有关键均线多头排列，放量跳空突破结构未遭破坏，当前回调属于趋势内调整。', '3.  **市场情绪偏积极**：财报后多家分析师大幅上调目标价，强化了看涨共识。', '4.  **风险主要来自短期技术面**：RSI顶背离、价格远离均线、波动率激增，提示需等待更好入场时机而非追高。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round07\reports\AAOI\0422-0055-AAOI\reports\2026-0304-AAOI\2_decision\summary.md
AAOI,2026-03-05,sell,99.71,99.71美元,（以已有持仓视角）建议部分获利了结，并将剩余仓位的止损位上移至92美元（近期震荡平台下沿）下方；或采用跟踪止盈，如以10日EMA（约80.67美元）作为动态止损参考。,,,1.0,"['若股价在未来1-2周内放量突破并站稳110美元前高，且RSI回落修复后再次强势上行，则“风险主导”判断失效，趋势可能重新强化。', '12. 适合的场景**', '- 已持有大量浮盈仓位、需要锁定部分利润的投资者。', '- 风险厌恶型交易者，希望规避高波动下的回撤风险。', '- 认为短期涨幅已过度、需要等待更深回调再考虑的观望者。', '13. 不适合的场景**', '- 试图在当前价位追高买入的短线交易者。', '- 坚信叙事且无视短期技术风险的长期持有者（可能承受大幅波动）。', '- 希望进行底部抄底的逆向投资者（回调深度与时间尚未确认）。', '14. 证据摘要**', '- 技术：RSI 78.79极端超买，价格偏离50日SMA达112%，高位巨量滞涨，波动率（ATR）飙升。', '- 新闻：财报与产能利好已充分反应，分析师目标价上调后缺乏新催化，宏观地缘风险增加波动。', '- 基本面：营收高增长但经营现金流为负，估值已大幅提升，短期需验证增长持续性。', '- 综合：未来1-2周更可能以回调、震荡消化风险为主，而非继续单边上涨。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round07\reports\AAOI\0422-0055-AAOI\reports\2026-0305-AAOI\2_decision\summary.md
AAOI,2026-03-06,buy_on_pullback,101.14,101.14美元,回调至92.00-93.80美元（近期震荡区间下沿）或83.40-85.00美元（10日EMA与突破缺口支撑）区域企稳后分批参与。,92.0,93.8,83.0,"['日线收盘价有效跌破83.00美元（跌破10日EMA及巨量阳线起点），则短期强势结构破坏，趋势可能转弱。', '12. 适合的场景**', '- 高风险偏好、能承受高波动的成长型/趋势交易者。', '- 相信AI数据中心光模块需求叙事，并认可公司产能扩张逻辑的投资者。', '- 采用分批建仓、严格止损纪律的交易策略。', '13. 不适合的场景**', '- 追求稳定盈利、低波动的价值型或收入型投资者。', '- 无法接受短期大幅回撤（如-20%以上）的交易者。', '- 希望单笔满仓追高或不愿等待回调的急躁型参与者。', '14. 证据摘要**', '- 技术面：均线呈多头排列，MACD动量强劲，突破伴随天量成交；虽RSI自超买回落、波动率扩张，但结构未破坏。', '- 新闻面：财报与指引构成根本性利好，产能扩张计划强化中期逻辑；宏观风险是波动源但非主导因素。', '- 基本面：营收同比暴增82.7%，显示需求拐点；但亏损与现金流消耗仍严重，属“高增长、高投入”阶段。', '- 综合：上涨逻辑仍占优，未来1-2周更可能呈现“整固后延续上行”或“回调后再度走强”态势。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round07\reports\AAOI\0422-0055-AAOI\reports\2026-0306-AAOI\2_decision\summary.md
AAOI,2026-03-09,hold,95.58,95.58美元,当前保持观望，不急于建立新仓位。未来若转向偏多，需观察以下信号：股价在80-88美元支撑区域出现成交量萎缩的企稳迹象，且RSI回落至60以下后重新拐头向上。未来若转向偏空，需观察股价放量跌破88美元（10日EMA）并无法快速收回。,80.0,88.0,80.0,"['1.  **转多信号失效**：股价未能守住80-85美元支撑区，并放量跌破80美元。', '2.  **转空信号失效**：股价经过整理后，以温和放量形式稳健突破前高114.63美元，则震荡格局可能被向上打破。', '12. 适合的场景**', '- 高风险偏好、擅长波段交易的投资者，在预设的支撑与阻力区间内进行高抛低吸。', '- 已持有仓位且成本较低的投资者，进行仓位管理（如部分止盈）。', '- 等待更清晰技术信号或下次财报催化（2026年Q1财报）的投资者。', '13. 不适合的场景**', '- 寻求稳定趋势、厌恶高波动的趋势跟踪者。', '- 希望立即追涨并期待短期继续暴涨的动量交易者。', '- 风险承受能力低、无法接受短期内大幅回撤的投资者。', '14. 证据摘要**', '- **技术面**：价格远离均线，RSI 77.74严重超买，MACD高位，出现高位放量滞涨与长阴线，ATR急剧扩张至10.23，显示短期动能衰竭与高波动，方向不明。', '- **新闻面**：获得超2亿美元1.6T订单的根本性利好已公布并被市场迅速定价，分析师上调目标价至140美元。后续催化剂需等待订单执行细节或下次财报。', '- **基本面**：营收同比暴增82.8%，显示高成长，但经营现金流为-1.74亿美元，仍处于“增收不增利”的投入期，增长质量有待验证。', '- **综合**：长期叙事改善与短期技术超买/高波动形成强烈对冲，未来1-2周多空拉锯概率高，缺乏明确方向指引。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round07\reports\AAOI\0422-0055-AAOI\reports\2026-0309-AAOI\2_decision\summary.md
AAOI,2026-03-10,buy_on_pullback,110.62,110.62美元,回调至84.00-95.00美元支撑区间内企稳后分批参与。重点关注：,84.0,95.0,84.0,"['1. 价格日线收盘价有效跌破84.00美元关键支撑位。', '2. MACD出现高位死叉并快速下行，同时RSI跌破50中轴。', '3. 基本面出现重大恶化，如订单取消、客户需求推迟或管理层下调指引。', '适合的场景**', '1. 高风险偏好的成长型/趋势交易者。', '2. 能接受高波动、愿意分批建仓并设置严格止损的投资者。', '3. 相信AI基础设施投资扩散逻辑，且关注公司业绩拐点的中期布局者。', '不适合的场景**', '1. 低风险承受能力、厌恶高波动和短期大幅回撤的投资者。', '2. 追求稳定盈利与现金流的价值型或收入型投资者。', '3. 无法密切跟踪价格波动、订单进展与财报事件的被动持有者。', '证据摘要**', '1. **技术结构**：长期（200日SMA）、中期（50日SMA）、短期（10日EMA）均线呈多头排列，价格虽处极端高位但未跌破短期趋势线；巨量突破后高位震荡属强势整理。', '2. **新闻/宏观**：公司获得首笔主要客户1.6T订单（价值超2亿美元），分析师上调目标价至140美元；行业处于AI投资向网络侧扩散的顺风期。宏观地缘风险存在，但公司特异性催化剂占主导。', '3. **基本面**：2025年营收同比+82.7%，增长拐点明确；尽管盈利与现金流仍为负，但订单落地提供了未来2-3季度营收能见度，基本面支撑未来1-2周的趋势延续逻辑。', '4. **整体评估**：技术面趋势未坏、基本面出现里程碑式突破、行业叙事积极，三者共同指向“趋势延续”，但短期超买与高波动要求采取“择机买入”而非追高策略。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round07\reports\AAOI\0422-0055-AAOI\reports\2026-0310-AAOI\2_decision\summary.md
AAOI,2026-03-11,hold,120.49,120.49美元,当前不急于参与。若未来价格能**强势整理于110美元上方并伴随成交量收缩、RSI回落至70以下**，可视为趋势延续的初步信号；或若价格**放量突破前高127.39美元**，可视为调整结束的信号。反之，若价格**向95-100美元支撑区域回调并出现缩量企稳、RSI回落至50-60**，可提供更安全的潜在介入机会。,95.0,100.0,95.0,"['1. 若价格**放量跌破95美元支撑区且3日内无法收回**，则短期上涨趋势可能阶段性结束。', '2. 若价格**在110美元下方持续弱势震荡且10日EMA拐头向下**，则调整时间与深度将超出健康整理范畴。', '适合的场景**', '1. 已持仓者进行部分获利了结后，等待更明确信号再考虑回补。', '2. 短线交易者进行高抛低吸的区间交易（非趋势跟随）。', '3. 中长期投资者等待回调至关键支撑区域或趋势再次确认后的分批布局机会。', '不适合的场景**', '1. 在当前价位附近新建重仓多头或空头头寸。', '2. 基于“趋势仍强”的单一逻辑而忽视极端超买风险进行追涨。', '3. 将观望视为消极操作，急于在方向不明时强行入场。', '证据摘要**', '1. **技术结构**：均线多头排列但价格偏离均线超128%，RSI持续80以上钝化，显示趋势虽在但短期动能衰竭，高波动率（ATR翻倍）预示震荡概率增加。', '2. **新闻/宏观**：重大订单利好已初步兑现，短期缺乏新催化剂；宏观地缘风险带来波动但未改变公司基本面叙事，多空情绪交织。', '3. **基本面**：营收高增长（同比+82.7%）提供长期支撑，但季度仍亏损且经营现金流为负，未来1-2周无财报等关键数据发布，基本面呈中性背景。', '4. **整体评估**：短期市场处于“利好兑现后的超买整理”与“长期叙事未破”的拉扯状态，方向性不足，更符合“震荡等待确认”特征。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round07\reports\AAOI\0422-0055-AAOI\reports\2026-0311-AAOI\2_decision\summary.md
AAOI,2026-03-12,buy_on_pullback,127.01,127.01美元,回调至支撑区域分批参与：,,,95.0,"['- 价格收盘价有效跌破95美元（强支撑区下沿）。', '- 10日EMA（当前101.25美元）被有效跌破并拐头向下。', '12. 适合的场景**', '- 相信公司1.6T订单标志趋势性突破的投资者。', '- 能够承受高波动、愿意等待回调机会而非追高的趋势交易者。', '- 将AAOI视为基于行业景气与业绩增长的阶段性交易机会。', '13. 不适合的场景**', '- 无法接受短期内大幅价格回调（如从现价回调15%以上）的投资者。', '- 要求立即买入并持有、厌恶择时的投资者。', '- 价值投资者或追求稳定盈利、正现金流的保守型投资者。', '14. 证据摘要**', '- **技术结构**：所有周期均线多头排列，价格远高于均线，趋势强劲；虽超买且波动率极高，但属趋势中的整理特征。', '- **新闻/宏观**：1.6T订单是根本性利好，压倒ATM增发等短期担忧；宏观地缘风险属间歇性噪音，未改变公司积极叙事。', '- **基本面**：营收爆发式增长（+82.7%）、毛利率提升，证明成长逻辑；尽管亏损与现金流为负，但高增长是当前主导定价因素。', '- **整体判断**：证据整体指向“顺势”，未来1-2周上涨逻辑仍占优，但执行上需等待更好位置。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round07\reports\AAOI\0422-0055-AAOI\reports\2026-0312-AAOI\2_decision\summary.md
AAOI,2026-03-13,hold,106.19,106.19美元,当前不急于参与。若未来价格回调至80-95美元区域并出现企稳信号（如日线级别缩量、RSI在50附近获得支撑），可重新评估买入机会。若价格放量突破120-128美元阻力区，则趋势可能重新加速，但当前概率较低。,80.0,95.0,80.0,"['- 对于潜在的未来多头策略：价格无法在80-95美元区域获得支撑，并日线收盘价跌破80美元。', '- 对于空头策略：价格日线收盘价重新站稳115美元上方。', '12. 适合的场景**', '- 短线区间交易者，能在高波动中严格止损。', '- 长线投资者愿意等待更佳风险回报比（如靠近关键支撑）的入场点。', '- 当前已持仓者采取观望并上移止损的策略。', '13. 不适合的场景**', '- 寻求未来1-2周明确单边趋势的动量交易者。', '- 无法承受日内大幅波动的保守型投资者。', '- 期望立即追涨获利的交易者。', '14. 证据摘要**', '- **技术**：价格自历史高点回落，脱离极端超买区，但均线仍呈多头排列；布林带极度扩张，显示高波动整理特征。', '- **新闻**：1.6T大订单提供长期利好，但ATM融资扩大构成短期稀释风险，多空抵消。', '- **基本面**：收入与毛利率大幅改善，但经营现金流仍为负，盈利拐点待验证。', '- **综合**：短期缺乏明确单向驱动，市场处于消化利好与利空的震荡阶段。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round07\reports\AAOI\0422-0055-AAOI\reports\2026-0313-AAOI\2_decision\summary.md
