Date,Open,High,Low,Close,Volume,Amount
2026-03-02,401.47,417.61,397.0,412.67,30049196,12308894699.69
2026-03-03,386.55,390.09,374.55,379.68,39010903,14914298897.27
2026-03-04,393.64,407.88,387.61,400.77,32644899,13054580526.5
2026-03-05,398.6,404.53,380.3,397.05,29960059,11768839371.04
2026-03-06,380.14,391.18,367.45,370.3,34458786,13121756157.67
2026-03-09,363.96,390.0,357.67,389.32,35547219,13337549403.08
2026-03-10,394.01,415.31,393.64,403.11,33745434,13772132868.84
2026-03-11,410.77,422.75,405.79,418.69,30191430,12593769914.59
2026-03-12,410.0,413.73,396.67,405.35,31720872,12840115091.62
2026-03-13,413.75,429.35,413.0,426.13,39260989,16596921944.7
2026-03-16,446.16,454.86,437.75,441.8,43067575,19275400096.61
2026-03-17,452.53,462.73,445.14,461.69,43017891,19606863850.47
2026-03-18,464.76,471.34,458.3,461.73,58973661,27469013073.9
2026-03-19,424.97,457.22,421.11,444.27,74591875,32986290476.92
2026-03-20,443.92,449.1,415.36,422.9,64224942,27473112951.69
2026-03-23,426.15,444.27,401.52,404.35,54807325,22619408880.42
2026-03-24,401.28,404.98,388.91,395.53,44975063,17751490508.62
2026-03-25,383.0,388.92,371.38,382.09,55328680,21030531412.91
2026-03-26,370.02,374.25,350.0,355.46,54515895,19698645386.95
2026-03-27,359.86,368.7,354.06,357.22,45806657,16545150133.25
2026-03-30,362.66,362.81,318.4,321.8,73833250,24583984807.81
2026-03-31,321.67,337.84,311.49,337.84,73551875,24030722967.29
2026-04-01,348.91,377.89,343.0,367.85,74429813,27267824201.69
2026-04-02,341.34,366.94,340.2,366.24,51498684,18506799341.3
2026-04-06,373.8,385.08,370.61,377.76,41414860,15690944090.68
2026-04-07,374.13,379.25,364.1,377.58,40224122,14985822868.73
2026-04-08,415.13,416.0,398.88,406.73,49216633,20013626854.33
2026-04-09,407.61,423.94,398.44,421.51,43100965,17735416099.37
2026-04-10,420.29,423.86,410.05,420.59,36377567,15261979419.95
2026-04-13,416.47,426.88,408.5,426.56,37015801,15459148834.02
2026-04-14,434.35,465.78,424.86,465.66,52534895,23462756553.66
2026-04-15,457.63,463.95,439.32,456.23,40370110,18213533041.42
2026-04-16,452.96,462.34,444.38,457.23,33626379,15335451373.74
2026-04-17,466.85,470.97,452.2,455.07,33405024,15335042935.39
2026-04-20,458.25,464.56,435.9,448.42,32013563,14293094832.34
2026-04-21,451.32,457.82,441.3,449.38,27733985,12457833991.61
2026-04-22,462.93,491.98,458.56,487.48,45998149,21968732061.75
2026-04-23,482.28,493.62,471.8,481.72,38178004,18370424389.65
2026-04-24,495.92,506.99,489.36,496.72,35213016,17550052027.84
