ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,report_path
AXTI,2026-03-02,hold,skipped,,,,,action_hold,,,37.9,（因建议观望，本项不适用主动入场建议。若未来转为看多，合理的入场方式应为：等待价格回调至29.70-36.00美元支撑区间并出现企稳信号后，再考虑分批轻仓试探。）,29.7,36.0,,backtest\output\0420-0111-AXTI\reports\2026-0302-AXTI\2_decision\summary.md
AXTI,2026-03-03,hold,skipped,,,,,action_hold,,,46.32,（当前建议为“保持观望”，默认用户无持仓）**暂不出手**。更优的参与方式是等待上述关键催化因素出现后的右侧确认。具体而言：1) 等待股价向中期均线进行深度技术性回调并出现企稳迹象；或2) 等待地缘政治紧张局势出现明确缓和信号后，市场风险偏好回升。,,,,backtest\output\0420-0111-AXTI\reports\2026-0303-AXTI\2_decision\summary.md
AXTI,2026-03-04,hold,skipped,,,,,action_hold,,,41.76,当前建议为“保持观望”，不适合任何形式的入场。未持仓者应耐心等待，直至出现“关键催化因素”中至少两项（尤其是宏观风险缓解与技术面企稳共振）得到确认的信号。,,,,backtest\output\0420-0111-AXTI\reports\2026-0304-AXTI\2_decision\summary.md
AXTI,2026-03-05,hold,skipped,,,,,action_hold,,,39.13,当前建议为“保持观望”，默认用户无持仓。**策略为暂不出手**，需等待两个层面的确认：一是宏观地缘政治风险出现明确缓和迹象；二是股价在关键支撑区域（如35-37美元或29-31美元）出现企稳并伴随积极的技术信号。,35.0,37.0,,backtest\output\0420-0111-AXTI\reports\2026-0305-AXTI\2_decision\summary.md
AXTI,2026-03-06,hold,skipped,,,,,action_hold,,,38.79,不适用（建议为“保持观望”）。,,,35.0,backtest\output\0420-0111-AXTI\reports\2026-0306-AXTI\2_decision\summary.md
AXTI,2026-03-09,hold,skipped,,,,,action_hold,,,32.37,当前判断为“保持观望”，无明确入场建议。若未来转为偏多，必须看到“价格在29-33美元支撑带内出现明确日线级别企稳K线组合”与“地缘政治或行业政策风险出现至少阶段性缓和信号”两者之一得到确认，方可考虑小仓位试探。,29.0,33.0,,backtest\output\0420-0111-AXTI\reports\2026-0309-AXTI\2_decision\summary.md
AXTI,2026-03-10,hold,skipped,,,,,action_hold,,,38.56,用户当前无持仓，**暂不出手**。应等待以下条件之一出现后再评估：1) 宏观风险（美伊局势）出现确定性缓和；2) 股价回调至32-35美元强支撑区域并出现企稳信号；3) 公司发布超预期的基本面改善信号。,32.0,35.0,31.55,backtest\output\0420-0111-AXTI\reports\2026-0310-AXTI\2_decision\summary.md
AXTI,2026-03-11,hold,skipped,,,,,action_hold,,,44.3,（因建议观望，无主动入场动作）若未来市场情绪与基本面出现明确好转，可考虑在股价放量突破47.03美元后跟随，或等待回调至38.50-40.00美元支撑区并出现企稳信号后再分批参与。当前不适合直接出手。,38.5,40.0,36.5,backtest\output\0420-0111-AXTI\reports\2026-0311-AXTI\2_decision\summary.md
AXTI,2026-03-12,hold,skipped,,,,,action_hold,,,47.36,建议“保持观望”，故当前不适合建立新仓位。潜在参与者应**耐心等待**，优先观察价格能否向36.5-41美元支撑区域进行健康回调并企稳，同时需等待宏观政策不确定性下降或基本面出现改善苗头。,36.5,41.0,,backtest\output\0420-0111-AXTI\reports\2026-0312-AXTI\2_decision\summary.md
AXTI,2026-03-13,hold,skipped,,,,,action_hold,,,46.73,若未来市场环境转向偏多，应等待价格回调至关键支撑区（如41.65-44.38美元或38.56美元附近）并出现缩量企稳信号后，再考虑分批介入。当前不满足任何进取型入场条件。,41.65,44.38,38.56,backtest\output\0420-0111-AXTI\reports\2026-0313-AXTI\2_decision\summary.md
AXTI,2026-03-16,hold,skipped,,,,,action_hold,,,48.86,（因建议观望，故说明暂不出手逻辑）用户当前无持仓，应**暂不出手**。最合理的潜在参与方式是等待价格回调至 **39.00 - 43.50美元** 的关键技术支撑区域并出现企稳形态，同时需要宏观风险有所缓和或公司出现基本面催化剂予以配合。当前直接追高或猜底左侧买入的风险回报比均不佳。,39.0,43.5,,backtest\output\0420-0111-AXTI\reports\2026-0316-AXTI\2_decision\summary.md
