trade_date,action,label,metric_name,metric_value_pct,note,report_path
2026-03-02,buy_on_pullback,good_case,realized_return_pct,22.7011,Triggered and exited profitable.,backtest\output\0421-0119-AXTI\reports\2026-0302-AXTI\2_decision\summary.md
2026-03-03,buy_on_pullback,good_case,realized_return_pct,71.9789,Triggered and exited profitable.,backtest\output\0421-0119-AXTI\reports\2026-0303-AXTI\2_decision\summary.md
2026-03-04,buy_on_pullback,bad_case,realized_return_pct,-4.1096,Triggered and lost money.,backtest\output\0421-0119-AXTI\reports\2026-0304-AXTI\2_decision\summary.md
2026-03-05,hold,bad_case,ret_3d_pct,13.2124,Hold missed a meaningful move.,backtest\output\0421-0119-AXTI\reports\2026-0305-AXTI\2_decision\summary.md
2026-03-06,buy_on_pullback,good_case,ret_3d_pct,22.0933,Buy signal was followed by price appreciation.,backtest\output\0421-0119-AXTI\reports\2026-0306-AXTI\2_decision\summary.md
2026-03-09,hold,bad_case,ret_3d_pct,44.3621,Hold missed a meaningful move.,backtest\output\0421-0119-AXTI\reports\2026-0309-AXTI\2_decision\summary.md
2026-03-10,hold,bad_case,ret_3d_pct,26.7116,Hold missed a meaningful move.,backtest\output\0421-0119-AXTI\reports\2026-0310-AXTI\2_decision\summary.md
2026-03-11,buy_on_pullback,good_case,realized_return_pct,13.65,Triggered and exited profitable.,backtest\output\0421-0119-AXTI\reports\2026-0311-AXTI\2_decision\summary.md
2026-03-12,buy_on_pullback,good_case,realized_return_pct,10.878,Triggered and exited profitable.,backtest\output\0421-0119-AXTI\reports\2026-0312-AXTI\2_decision\summary.md
2026-03-13,buy_on_pullback,good_case,ret_3d_pct,4.3441,Buy signal was followed by price appreciation.,backtest\output\0421-0119-AXTI\reports\2026-0313-AXTI\2_decision\summary.md
2026-03-16,buy_on_pullback,good_case,realized_return_pct,2.6185,Triggered and exited profitable.,backtest\output\0421-0119-AXTI\reports\2026-0316-AXTI\2_decision\summary.md
2026-03-17,hold,bad_case,ret_3d_pct,12.0893,Hold missed a meaningful move.,backtest\output\0421-0119-AXTI\reports\2026-0317-AXTI\2_decision\summary.md
2026-03-18,hold,bad_case,ret_3d_pct,45.266,Hold missed a meaningful move.,backtest\output\0421-0119-AXTI\reports\2026-0318-AXTI\2_decision\summary.md
2026-03-19,buy_on_pullback,good_case,realized_return_pct,2.4797,Triggered and exited profitable.,backtest\output\0421-0119-AXTI\reports\2026-0319-AXTI\2_decision\summary.md
2026-03-20,buy_on_pullback,good_case,ret_3d_pct,15.9408,Buy signal was followed by price appreciation.,backtest\output\0421-0119-AXTI\reports\2026-0320-AXTI\2_decision\summary.md
2026-03-23,buy_on_pullback,good_case,ret_3d_pct,7.8724,Buy signal was followed by price appreciation.,backtest\output\0421-0119-AXTI\reports\2026-0323-AXTI\2_decision\summary.md
2026-03-24,buy_on_pullback,bad_case,ret_3d_pct,-5.9125,Buy signal was followed by price weakness.,backtest\output\0421-0119-AXTI\reports\2026-0324-AXTI\2_decision\summary.md
2026-03-25,sell,good_case,ret_3d_pct,-22.9544,Price fell after sell signal.,backtest\output\0421-0119-AXTI\reports\2026-0325-AXTI\2_decision\summary.md
2026-03-26,buy_on_pullback,bad_case,realized_return_pct,-17.8519,Triggered and lost money.,backtest\output\0421-0119-AXTI\reports\2026-0326-AXTI\2_decision\summary.md
2026-03-27,buy_on_pullback,bad_case,realized_return_pct,-7.2414,Triggered and lost money.,backtest\output\0421-0119-AXTI\reports\2026-0327-AXTI\2_decision\summary.md
2026-03-30,buy_on_pullback,bad_case,ret_3d_pct,-12.8484,Buy signal was followed by price weakness.,backtest\output\0421-0119-AXTI\reports\2026-0330-AXTI\2_decision\summary.md
2026-03-31,hold,bad_case,ret_3d_pct,-20.3679,Hold missed a meaningful move.,backtest\output\0421-0119-AXTI\reports\2026-0331-AXTI\2_decision\summary.md
2026-04-01,hold,bad_case,ret_3d_pct,-20.2176,Hold missed a meaningful move.,backtest\output\0421-0119-AXTI\reports\2026-0401-AXTI\2_decision\summary.md
2026-04-02,hold,unclear,ret_3d_pct,-3.5639,Move was moderate; not a clear hold success/failure.,backtest\output\0421-0119-AXTI\reports\2026-0402-AXTI\2_decision\summary.md
2026-04-06,sell,good_case,ret_3d_pct,-13.9667,Price fell after sell signal.,backtest\output\0421-0119-AXTI\reports\2026-0406-AXTI\2_decision\summary.md
2026-04-07,hold,unclear,,,No future bars in test window.,backtest\output\0421-0119-AXTI\reports\2026-0407-AXTI\2_decision\summary.md
