ticker,trade_date,action,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
2513.HK,2026-03-02,sell,575.0,575.0港元,（已有持仓视角）考虑在反弹至阻力区（如670-700港元）时部分获利了结；或设定动态止盈于10日EMA（约524.5港元）附近，有效跌破则进一步减仓/离场。,670.0,700.0,,['收盘价强势收复并站稳600港元关口，且美伊冲突出现明确、快速的缓和信号。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round17\reports\2513.HK\0423-0103-2513HK\reports\2026-0302-2513HK\2_decision\summary.md
2513.HK,2026-03-03,hold,550.0,550.0港元,当前不建立新仓位。若未来转多，需满足以下条件之一：,,,,"['- 转多条件失效：价格跌破470港元支撑。', '- 转空条件触发：价格跌破470港元支撑且反弹无法重回500港元上方。', '12. **适合的场景**', '- 投资者能够承受极高波动，并愿意等待宏观或技术面明确信号。', '- 作为宏观风险对冲组合中的观望标的。', '- 持仓者执行部分止盈后，用剩余仓位跟踪趋势演变。', '13. **不适合的场景**', '- 寻求短期方向性交易的投资者。', '- 无法忍受单日大幅波动（ATR达83港元）的低风险偏好者。', '- 要求基本面稳健或现金流为正的价值投资者。', '14. **证据摘要**', '- 技术面：价格高位震荡，MACD顶背离，但关键支撑未破；ATR处历史高位，波动极端。', '- 新闻面：宏观地缘风险主导，公司无新增催化。', '- 基本面：财务处于战略性亏损，无短期改善催化剂。', '- 报告建议：明确建议“等待回调或突破”，持仓者“部分获利了结”。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round17\reports\2513.HK\0423-0103-2513HK\reports\2026-0303-2513HK\2_decision\summary.md
2513.HK,2026-03-04,hold,528.0,528.0港元,当前不建立新仓。若未来价格能**放量突破并站稳560-580港元阻力区**，可考虑趋势转多；若价格**回调至402-430港元强支撑区并出现企稳反弹信号**，可考虑波段做多机会。,560.0,580.0,,['此“观望”状态失效于：1) 价格放量突破580港元（转多信号）；或 2) 价格放量跌破402港元且无法快速收回（转空信号）。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round17\reports\2513.HK\0423-0103-2513HK\reports\2026-0304-2513HK\2_decision\summary.md
2513.HK,2026-03-05,sell,510.0,510.0港元,【持仓者】考虑利用向578-592港元阻力区域的任何反弹进行减仓；或直接将止损位设置在495港元下方（即跌破500港元关口后执行）。,578.0,592.0,,['1. 股价放量强势回升并站稳10日EMA（当前约522港元）上方；2. 宏观风险显著缓和（如美伊冲突降温），且股价收复并站稳530港元以上。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round17\reports\2513.HK\0423-0103-2513HK\reports\2026-0305-2513HK\2_decision\summary.md
2513.HK,2026-03-06,buy_on_pullback,520.0,520.00港元,1. **回调企稳参与**：价格回调至500-510港元支撑区域，出现缩量止跌K线组合（如单针探底、小阳线）后分批介入。2. **突破确认参与**：价格放量上涨并站稳560港元（近期阻力区上沿及10日EMA附近）后介入。,500.0,510.0,,['日线收盘价明确跌破并收于500港元关键支撑位下方。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round17\reports\2513.HK\0423-0103-2513HK\reports\2026-0306-2513HK\2_decision\summary.md
2513.HK,2026-03-09,sell,532.0,532.0港元,,,,,['股价在未来1-2周内不仅守住500-510港元支撑带，并且带量强势突破628-666港元阻力区，同时宏观局势出现明确缓和信号（如油价稳定回落）。此情景将逆转短期风险主导格局。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round17\reports\2513.HK\0423-0103-2513HK\reports\2026-0309-2513HK\2_decision\summary.md
2513.HK,2026-03-10,hold,575.0,575.0港元,当前不急于开仓。若未来价格带量突破625港元，可考虑转为右侧跟进；若价格回调至500-510港元区间并出现企稳信号，可考虑转为左侧轻仓试多。,500.0,510.0,480.0,"['此“观望”状态的失效，即触发方向性信号的的条件为：1) 价格突破并站稳625港元上方；或 2) 价格放量跌破480港元。', '适合的场景**', '- 区间交易者，擅长在高波动环境中进行高抛低吸。', '- 等待更明确趋势信号的趋势跟踪者。', '- 能紧密监控价格对关键技术位反应的风险管理者。', '不适合的场景**', '- 寻求短期明确单边趋势的动量交易者。', '- 无法承受日内大幅波动的低风险偏好投资者。', '- 希望立即根据基本面进行方向押注的投资者。', '证据摘要**', '1.  技术面处于高位整理形态，关键支撑（480-510）与阻力（625-672.5）明确，短期均线走平，动量指标自高位回落。', '2.  公司层面近一周无任何新闻，处于信息真空期。', '3.  宏观环境多空交织，国内政策期与海外地缘风险并存，对市场风险偏好影响方向不明。', '4.  基本面为高亏损成长模型，提供长期叙事但无短期盈利催化，无法驱动近期方向。', '5.  报告核心建议为“回调参与”或“突破确认”，而非立即进行方向性开仓。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round17\reports\2513.HK\0423-0103-2513HK\reports\2026-0310-2513HK\2_decision\summary.md
2513.HK,2026-03-11,sell,649.0,649.0港元,（已有持仓视角）考虑逢反弹减仓或设定止损。可参考技术报告中的支撑位（如564港元、510-520港元区域）作为减仓或止损观察点，若跌破则果断执行。,510.0,520.0,,['1. 美伊冲突出现明确且快速的外交缓和信号，全球风险偏好迅速修复；2. 公司突发重大利好公告（如巨额订单、技术突破），完全对冲宏观风险并独立走强。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round17\reports\2513.HK\0423-0103-2513HK\reports\2026-0311-2513HK\2_decision\summary.md
2513.HK,2026-03-12,sell,609.5,609.5美元,（已有持仓视角）** 考虑在价格反弹至技术阻力区（如650-670美元）时减仓；或设定止损位，如收盘价有效跌破560-575美元第一支撑带后部分止损。,650.0,670.0,,"['- 美伊冲突出现官方确认的、可信的降级或停火协议，全球风险偏好快速修复。', '- 股价放量强势突破并站稳708-725美元历史高点区域，技术结构重新转为强势。', '12. **适合的场景**', '- 风险厌恶型投资者，或需要降低整体组合风险暴露的持仓者。', '- 认为地缘政治风险将持续发酵的交易者。', '- 作为对冲宏观风险敞口的操作。', '13. **不适合的场景**', '- 试图左侧抄底、博弈地缘局势瞬间反转的激进交易者。', '- 仅基于长期技术趋势看多而忽略宏观冲击的投资者。', '- 无法承受极高波动率和潜在大幅亏损的投资者。', '14. **证据摘要**', '- **宏观/新闻**：美伊军事冲突升级，伊朗宣布“更主动系统性打击”，全球避险情绪主导；公司层面新闻静默，无利好对冲。', '- **技术**：价格跌破10日EMA，MACD动量收缩，RSI自超买回落，高位长上影线显示抛压；ATR处于历史高位，波动风险极大。', '- **基本面**：营收虽加速增长，但资不抵债（净资产-81亿），现金流依赖融资，在宏观风险下脆弱性凸显。', '- **报告共识**：三份报告建议均偏向谨慎、避险或观望，无一份支持短期积极做多。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round17\reports\2513.HK\0423-0103-2513HK\reports\2026-0312-2513HK\2_decision\summary.md
2513.HK,2026-03-13,sell,555.5,555.5港元,（基于已有持仓视角）考虑反弹减仓或止损。若价格反弹无法站稳10日EMA（约556.7港元）或610-628港元阻力区，可视为减仓机会。,610.0,628.0,,['1. 美伊冲突出现明确、快速的降温或停火信号，全球风险资产暴力反弹；2. 公司发布重大利好公告（如超预期业绩、重大合同），完全扭转当前情绪。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round17\reports\2513.HK\0423-0103-2513HK\reports\2026-0313-2513HK\2_decision\summary.md
