ticker,trade_date,action,trend_judgment,report_action,report_trend_judgment,decision_source,scenario_type,primary_driver,trend_integrity,risk_state,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path,direction_bias,catalyst_state,extension_state,entry_posture
AAOI,2026-03-02,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,催化后高波动整理型,多因素混合主导,完整,高,84.23,84.23美元,等待价格回调至10日EMA（约65美元）附近企稳，或更深回调至跳空缺口上沿与前期平台（53-56美元）区域，伴随成交量显著萎缩和RSI从超买区回落至70以下后，可分批参与。,53.0,56.0,42.82,['1）价格跌破50日SMA（当前42.82美元动态上移）且无法快速收复；2）价格有效跌破2月27日跳空缺口下沿（53.69美元），表明突破缺口被回补，上涨动能衰竭；3）未来1-2周出现新的公司负面新闻（如订单取消、核心客户流失）或宏观危机升级导致系统性抛售。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\AAOI\0424-2213-AAOI\reports\2026-0302-AAOI\2_decision\summary.md,看多,支撑中,过热,等待回调
AAOI,2026-03-03,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,催化后高波动整理型,公司催化主导,完整,中,102.51,102.51美元,等待价格回调至56-70美元区间（前期平台56.27-58.12美元与10日EMA 70.88美元之间），并出现RSI回落至50-60区间、成交量温和收敛、价格企稳止跌信号后分批参与。,56.0,70.0,44.0,['价格放量跌破44美元（50日SMA）且无法快速收回，则中期趋势结构可能破坏，需退出多头思路；若价格在56-70美元区间反弹无力或持续阴跌，也应暂时离场观察。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\AAOI\0424-2213-AAOI\reports\2026-0303-AAOI\2_decision\summary.md,看多,消化中,过热,等待回调
AAOI,2026-03-04,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,催化后高波动整理型,公司催化主导,完整,高,95.34,95.34美元,回调至84.2美元（2月27日跳空收盘价）附近出现企稳信号（如日线收阳、成交量萎缩、RSI回落至60以下）后分批参与；或等待更深度回调至76.1美元（10日EMA动态支撑）与56.3-58.1美元（中期平台支撑）区间阶梯式低吸。,56.3,58.1,84.2,['价格放量跌破84.2美元支撑后无法在3日内收回，或进一步跌破2月27日跳空缺口下沿65.57美元；50日SMA（45.6美元）被明确跌破且无法快速修复；单周出现连续放量下跌且收盘价低于76美元。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\AAOI\0424-2213-AAOI\reports\2026-0304-AAOI\2_decision\summary.md,看多,消化中,过热,等待回调
AAOI,2026-03-05,hold,震荡等待确认,建议卖出,风险主导,rule_based,催化后高波动整理型,公司催化主导,完整,高,99.71,99.71美元,当前无新买入计划。对于现有持仓，建议在价格反弹至104-110美元区间分批减仓，或设置动态止损于92.22美元下方。,104.0,110.0,65.0,['若价格连续两日放量站稳110美元以上，需重新评估趋势延续性；若日线收盘跌破65美元（2月27日启动缺口下限），则中期上涨结构被证伪。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\AAOI\0424-2213-AAOI\reports\2026-0305-AAOI\2_decision\summary.md,中性,消化中,过热,暂不参与
AAOI,2026-03-06,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,公司催化主导,完整,中,101.14,101.14 美元,回调至92.00-93.80美元（近期震荡区间下沿）区域企稳后分批参与；若回调更深，可在83.00-85.00美元（10日EMA与巨量阳线突破缺口重合区域）加仓介入。,92.0,93.8,83.0,['日线收盘价有效跌破83.00美元，则短期强势结构破坏，应止损离场；若价格反弹无法站稳102.50美元（近期阻力）并随后回落跌破92美元，也应视为参与条件失效。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\AAOI\0424-2213-AAOI\reports\2026-0306-AAOI\2_decision\summary.md,看多,支撑中,延展,等待回调
AAOI,2026-03-09,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,催化后高波动整理型,公司催化主导,完整,中,95.58,95.58美元,等待股价回调至80-85美元区域并出现缩量企稳信号（如小阳线或锤头线）后，分批介入；或等待股价放量突破并站稳110美元阻力后右侧追入。,80.0,85.0,80.0,['若股价放量跌破80美元关键支撑区且无法在2-3个交易日内快速收回，则趋势完整性受损，应止损离场；若随后进一步跌破50日SMA（约49.52美元），则完全转为风险主导，应彻底清仓。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\AAOI\0424-2213-AAOI\reports\2026-0309-AAOI\2_decision\summary.md,看多,消化中,延展,等待回调
AAOI,2026-03-10,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,公司催化主导,完整,中,110.62,110.62美元,等待回调至84-95美元支撑区间，重点关注95美元（近期震荡区间下沿）和84美元（突破起涨点）附近，待出现企稳或缩量止跌信号后分批参与。,84.0,95.0,84.0,['日线收盘价有效跌破84美元关键支撑位，且MACD出现高位死叉；或后续订单执行出现重大负面新闻，破坏基本面增长叙事。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\AAOI\0424-2213-AAOI\reports\2026-0310-AAOI\2_decision\summary.md,看多,支撑中,过热,等待回调
AAOI,2026-03-11,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,公司催化主导,完整,中,120.49,120.49 美元,回调至95-105美元区间（3月6日低点95.58、10日EMA约100美元、2月27日巨量收盘价84美元之上形成的多重支撑带），待出现缩量止跌或企稳信号后分批轻仓介入。,95.0,105.0,95.0,['1) 价格放量跌破95美元关键支撑且3个交易日内无法收复；2) 10日EMA拐头向下；3) RSI下穿80后持续走弱且无法重回50以上，显示趋势动能衰竭。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\AAOI\0424-2213-AAOI\reports\2026-0311-AAOI\2_decision\summary.md,看多,支撑中,过热,等待回调
AAOI,2026-03-12,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,公司催化主导,完整,中,127.01,127.01美元,第一建仓区间为110-112美元（近期突破位/3月9日高点与3月10日低点区域）；若回调加深，第二建仓区间为95-99美元（跳空缺口上沿与整数关口）。建议分批轻仓，首仓不超过计划仓位的一半。,110.0,112.0,95.0,['价格收盘跌破95美元（强支撑区下沿），且10日EMA被有效跌破并拐头向下，此时应视为趋势结构破坏，退出多头等待。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\AAOI\0424-2213-AAOI\reports\2026-0312-AAOI\2_decision\summary.md,看多,支撑中,过热,等待回调
AAOI,2026-03-13,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,106.19,106.19 美元,等待价格回调至80.00-95.00美元区间，出现企稳信号（如缩量小K线、RSI在50附近获得支撑）后分批参与。若价格强势突破128.96美元历史高点并放量站稳，则可考虑追涨参与。,80.0,95.0,55.51,['价格有效跌破50日SMA（当前55.51美元，且持续上行）无法快速收回，意味着中期上升趋势破坏；或公司ATM融资执行节奏超预期加速，对EPS稀释幅度超出市场可接受范围。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\AAOI\0424-2213-AAOI\reports\2026-0313-AAOI\2_decision\summary.md,看多,消化中,延展,等待回调
