sequence,ticker,trade_date,team_id,llm_model,selected_analysts,trace_dir,source_report_dir,report_dir,decision_path,llm_calls,tool_calls,tokens_in,tokens_out,executive_summary
1,AAOI,2026-03-02,lite,deepseek-chat,"market,news,fundamentals",,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round03\reports\AAOI\0421-1126-AAOI\reports\2026-0302-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0302-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0302-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-02
截面日期：2026-03-02
截面价格：84.23美元
趋势判断：震荡等待确认
建议行动：保持观望
1-2周核心判断：未来1-2周方向性不足。公司层面因强劲财报和指引带来的暴涨已使股价处于极端超买状态，技术面存在强烈的回调需求；同时，宏观地缘政治风险压制整体风险偏好。多空因素（强劲基本面 vs. 技术超买与宏观逆风）互相抵消，价格更可能在高位进行震荡整理以消化涨幅，缺乏明确的单向驱动。
执行摘要：技术面显示股价因财报催化出现巨量跳空暴涨，所有指标进入极端超买，短期回调风险极高。尽管基本面出现增长拐点，但股价已剧烈反应。叠加宏观风险情绪，未来1-2周最合理的做法是不押方向，等待价格回调或整理后出现更清晰信号。
关键催化因素：1. Q4业绩超预期及Q1强劲指引已验证基本面拐点；2. 多家投行大幅上调目标价，提供情绪支撑；3. 800G产能扩张计划明确了中期增长叙事。
关键风险：1. 技术指标极端超买（RSI >84），存在剧烈回调的高概率；2. 宏观层面美伊地缘政治紧张局势压制科技股风险偏好；3. 经营现金流持续为负，公司尚未实现自我造血。
入场方式：当前不急于参与。若未来价格能健康回调至关键支撑区（如53-65美元）并出现企稳迹象，可重新评估做多机会。若价格放量突破前高84.31美元且宏观情绪好转，则趋势可能强化。
失效条件：1. 若价格跌破并持续运行于50日SMA（当前约42.82美元）下方，则上涨逻辑破坏。2. 若宏观风险急剧恶化导致市场全面避险，可能引发无视基本面的抛售。
适合的场景：适合能忍受高波动、擅长等待关键位置确认的投资者。适用于在价格回调至支撑区并出现企稳信号后的波段交易机会评估。
不适合的场景：不适合追高买入。不适合低风险承受能力或要求立即有方向性走势的短线交易者。不适合在宏观情绪恐慌时逆势做多。
证据摘要：技术报告明确结论“技术面不支持在当前价位进行任何新建多头仓位”，并指出“短期技术性回调风险极高”。新闻报告指出“公司强、宏观弱”的背离格局，建议“不建议追高”。基本面报告确认增长拐点，但提示“持续亏损与现金流恶化”风险。综合来看，短期多空力量均衡，方向不清晰。"
2,AAOI,2026-03-03,lite,deepseek-chat,"market,news,fundamentals",,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round03\reports\AAOI\0421-1126-AAOI\reports\2026-0303-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0303-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0303-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-03
截面日期：2026-03-02
截面价格：102.51美元
趋势判断：趋势延续
建议行动：择机买入
1-2周核心判断：未来1-2周，尽管短期存在巨大的技术性回调压力和宏观扰动，但驱动本轮暴涨的核心基本面叙事（强劲财报、超预期指引、800G产能规划）未被破坏，技术面长期、中期、短期趋势均保持强劲多头排列。价格行为更可能表现为“强势趋势中的高位震荡与消化”，为后续趋势延续做准备，而非趋势反转。因此，方向判断仍偏多，但参与方式必须是等待回调，而非追高。
执行摘要：公司基本面发生积极重估，技术趋势极端强劲但短期严重超买。未来1-2周更可能以高位震荡、回调消化获利盘为主，为趋势延续蓄力。策略上应避免追涨，耐心等待深度回调至关键支撑区后的企稳参与机会。
关键催化因素：1. Q4财报及Q1强劲指引证实基本面拐点；2. 明确的800G光模块产能扩张计划支撑长期增长叙事；3. 分析师大幅上调目标价强化市场信心。
关键风险：1. 技术面RSI严重超买，存在强烈回调需求；2. 短期涨幅巨大，获利盘沉重；3. 经营现金流为负，公司仍依赖外部融资；4. 宏观地缘政治风险加剧市场波动。
入场方式：等待价格回调至56.27-70.88美元区间（前期平台高点至10日EMA区域）企稳后分批参与。可关注首次触及90美元（布林带上轨）附近的反弹机会，但需轻仓并设置紧止损。
失效条件：价格放量跌破44.18美元（50日SMA）并无法快速收回，意味着中期趋势结构破坏，上涨逻辑面临挑战。
适合的场景：能够承受高波动、擅长回调买入、并严格执行止损的激进型交易者。
不适合的场景：厌恶高风险、无法接受大幅回撤、希望追涨或进行短期日内交易的投资者。
证据摘要：1. 技术面：所有周期均线呈完美多头排列，MACD动能强劲，确认主要趋势向上。2. 基本面：Q4营收同比大增83%，Q1指引超预期，800G产能规划明确，构成核心上涨逻辑。3. 市场情绪：尽管短期超买且波动剧烈，但报告核心建议是“等待回调参与”，而非转向防守或离场。"
3,AAOI,2026-03-04,lite,deepseek-chat,"market,news,fundamentals",,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round03\reports\AAOI\0421-1126-AAOI\reports\2026-0304-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0304-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0304-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-04
截面日期：2026-03-03
截面价格：95.34美元
趋势判断：震荡等待确认
建议行动：保持观望
1-2周核心判断：未来1-2周方向性不足。尽管长期趋势和基本面叙事依然积极，但技术面出现极端超买、顶背离及高位放量回调，短期面临剧烈的获利了结与均值回归压力。报告核心建议是“绝对禁止追涨”并“等待回调”，多空因素（强劲趋势 vs. 极高回调风险）互相抵消，最合理的判断是暂时不押方向，等待价格向关键支撑区域测试并企稳。
执行摘要：技术面显示趋势强劲但短期回调风险极高，基本面积极但已被大幅定价。未来1-2周更可能进入高位震荡消化阶段，以等待技术指标修复和价格测试支撑。当前应保持观望，不急于新建多头或空头头寸。
关键催化因素：1. 下一季度财报（预计4月下旬）若能验证强劲指引，将巩固增长叙事。2. 800G光模块产能爬坡进度或新客户订单的积极消息。
关键风险：1. 技术性回调风险：RSI顶背离、价格大幅偏离均线，短期均值回归引力强。2. 宏观风险：美伊地缘局势若恶化，可能压制整体成长股风险偏好。3. 执行风险：激进的产能扩张计划面临供应链与执行不确定性。
入场方式：若未来价格能健康回调至关键支撑区域（如76.1美元附近或56.3-58.1美元区域）并出现企稳信号（如成交量萎缩、RSI脱离超买区后拐头），可考虑转为择机买入。若价格放量突破110.0美元历史高点，则趋势有望加速，可考虑突破买入。
失效条件：对于潜在多头头寸，失效条件是价格放量跌破2月27日跳空缺口下沿（约65.57美元）并无法快速收回，或50日均线（当前45.59美元）被有效跌破且无法修复。
适合的场景：擅长波段交易、能耐心等待高赔率入场点的投资者；愿意为捕捉潜在趋势延续机会而承受等待时间成本的策略。
不适合的场景：追求短期追涨动能或立即获得方向性收益的交易者；无法接受价格可能先进行深度回调再上涨的投资者。
证据摘要：1. 技术面：所有均线多头排列，但RSI严重超买且顶背离，价格高位放量回落，ATR飙升显示高波动，短期回调压力巨大。2. 基本面：Q4财报及Q1指引超预期，营收同比暴增82.7%，但经营现金流为负，增长质量有待验证。3. 新闻面：分析师大幅上调目标价强化乐观预期，但宏观地缘风险构成潜在扰动。报告整体建议“等待回调参与”，而非立即进攻或转向防守。"
4,AAOI,2026-03-05,lite,deepseek-chat,"market,news,fundamentals",,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round03\reports\AAOI\0421-1126-AAOI\reports\2026-0305-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0305-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0305-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-05
截面日期：2026-03-04
截面价格：99.71美元
趋势判断：震荡等待确认
建议行动：保持观望
1-2周核心判断：未来1-2周方向性不足。尽管长期趋势确立且基本面有积极变化，但股价在短期内呈现极端超买、高位巨量震荡的格局。技术面显示极高的回调风险与多空巨大分歧，而新闻面显示核心催化（财报）已落地且被大幅定价。市场处于消化涨幅、等待新信号的阶段，上涨与下跌的短期证据均不充分，最合理的状态是区间震荡。
执行摘要：技术指标极度超买（RSI近80），价格大幅偏离均线，且出现放量滞涨迹象，短期回调风险极高。尽管基本面营收增长强劲且长期趋势向上，但未来1-2周更可能进入高位震荡以消化涨幅和修复指标。当前不建议追高，也不应基于趋势延续直接做空，应等待价格整理后出现更清晰的方向信号。
关键催化因素：1. 下一季度（2026年Q1）财报对Q2的指引及800G产能爬坡数据（预计4月下旬发布）。2. 价格在关键支撑位（如80-85美元或65-70美元）企稳并伴随成交量变化。3. 突破近期震荡区间上沿110美元。
关键风险：1. 技术性深度回调风险：RSI极端超买、价格偏离均线幅度巨大。2. 获利了结压力：高位连续巨量表明筹码松动。3. 增长叙事验证风险：下一份财报若仅符合预期，可能引发“利好出尽”式回调。4. 高波动性风险：ATR高达约9美元，日内波动剧烈。
入场方式：当前不急于参与。若未来价格能健康回调至80-85美元（10日EMA）或65-70美元（突破起点）区域并出现企稳信号（如成交量萎缩、指标修复），可考虑轻仓试多。或者，等待价格放量突破并站稳110美元阻力位后再行跟进。
失效条件：若价格日线收盘跌破65美元（突破起点），则本轮上涨趋势可能被证伪，应放弃多头思路。若价格无法在92美元上方获得支撑并快速下跌，也意味着短期结构转弱。
适合的场景：能接受高波动、擅长区间震荡交易或愿意耐心等待深度回调后关键位置企稳信号的投资者。
不适合的场景：寻求短期趋势延续追涨的投资者；无法承受股价从当前点位快速回调15%以上风险的投资者；要求有明确短期催化驱动的交易。
证据摘要：1. 技术面：RSI持续位于78以上极端超买区，价格大幅偏离均线，ATR飙升显示波动剧烈，近期呈现放量滞涨。2. 新闻面：核心积极催化（财报、目标价上调）已落地，股价已大幅反应，下一关键节点（Q1财报）在1-2周后。3. 基本面：营收高增长但经营现金流为负，处于“以亏损换增长”阶段，短期缺乏新的基本面催化。综合来看，多空因素在短期内相互抵消，方向不明。"
5,AAOI,2026-03-06,lite,deepseek-chat,"market,news,fundamentals",,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round03\reports\AAOI\0421-1126-AAOI\reports\2026-0306-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0306-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0306-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-06
截面日期：2026-03-05
截面价格：101.14美元
趋势判断：趋势延续
建议行动：择机买入
1-2周核心判断：未来1-2周方向仍偏多。强劲的财报与产能扩张叙事构成了根本性的上涨逻辑，技术面所有关键均线呈多头排列，上涨结构未破坏。尽管短期因涨幅巨大、波动率高而处于高位震荡，但报告核心建议是等待回调至关键支撑区域参与，而非转向防守或认为趋势反转。宏观地缘风险构成波动逆风，但尚未压倒公司特定的积极基本面。
执行摘要：技术面呈现强势多头格局，基本面因财报超预期及明确产能扩张计划而重估。短期需消化极端涨幅与宏观波动，但上涨逻辑完整。策略上避免追高，应等待价格回调至关键支撑区再寻求参与机会。
关键催化因素：1. Q4财报营收超预期及强劲的Q1指引证实基本面拐点。2. 明确的800G光模块产能扩张路线图（至2026年底50万只/月）绑定AI数据中心投资主题。3. 分析师大幅上调目标价至125美元，强化市场共识。
关键风险：1. 短期涨幅过大，波动率（ATR）急剧扩张，价格容易出现大幅技术性回调。2. 宏观层面美伊地缘政治紧张局势升级，压制整体风险偏好，加剧股价波动。3. 公司仍处于“烧钱换增长”阶段，经营现金流大幅净流出，盈利路径尚不明确。
入场方式：等待价格回调至关键支撑区域分批介入。重点关注两个区域：1. 92.00-93.80美元（近期震荡区间下沿）。2. 83.00-85.00美元（10日EMA与巨量突破阳线起点重合区域）。
失效条件：价格日线收盘价有效跌破83.00美元（跌破10日EMA及关键突破结构），则短期强势结构可能破坏，上涨逻辑面临挑战。
适合的场景：相信AI基础设施长期趋势、能承受高波动、并愿意等待回调位置寻求参与机会的成长型/趋势型交易者。
不适合的场景：追求稳定盈利和股息的价值投资者；无法忍受短期大幅回撤的风险厌恶型投资者；要求立即入场且不愿等待回调的追涨交易者。
证据摘要：1. 技术趋势：各周期均线多头排列，价格远高于长中期均线，MACD动量强劲。2. 基本面催化：Q4营收同比大增82.7%，Q1指引强劲，产能扩张计划提供明确增长路径。3. 报告建议：技术报告与新闻报告均明确指出“趋势看涨”，但建议“等待回调参与”，核心是寻求更好入场点而非转向观望或卖出。4. 风险对比：宏观逆风与高波动被提及，但报告判断公司积极基本面是更强主导力量。"
6,AAOI,2026-03-09,lite,deepseek-chat,"market,news,fundamentals",,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round03\reports\AAOI\0421-1126-AAOI\reports\2026-0309-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0309-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0309-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-09
截面日期：2026-03-06
截面价格：95.58美元
趋势判断：震荡等待确认
建议行动：保持观望
1-2周核心判断：未来1-2周方向性不足。尽管公司获得重大订单的基本面逻辑发生根本性改善，但技术面显示股价在短期暴涨后已严重超买，出现高位放量滞涨和大幅回落信号。多空因素激烈博弈：强劲的基本面叙事与极高的技术性回调压力相互抵消，导致未来1-2周更可能呈现宽幅震荡格局，而非明确的单边上涨或下跌。
执行摘要：公司特异性利好（1.6T光模块超2亿美元订单）已引发股价极端上涨，但技术指标严重超买且出现动能衰竭信号。未来1-2周，基本面支撑与技术面回调压力形成对峙，价格大概率在关键支撑与阻力间震荡消化涨幅，缺乏清晰单边方向，最合理的行动是暂时观望，等待市场选择方向或结构稳固。
关键催化因素：1.6T光模块批量订单落地证实公司技术领先性与商业化能力，直接改变未来营收增长轨迹；分析师据此上调目标价至140美元；公司规划2026年底产能大幅扩张，支撑增长预期。
关键风险：技术指标（RSI>77）严重超买，价格与均线极端偏离；出现高位放量滞涨和长阴线回调信号，短期获利了结压力巨大；经营现金流仍为巨额负值，盈利路径有待验证；宏观地缘政治风险可能加剧市场波动。
入场方式：当前不急于建立新仓位。若未来价格能放量突破前高114.63美元，可能意味着整理结束、趋势重启，可考虑转向偏多。若价格能回调至80-85美元关键支撑区域并出现企稳缩量信号，可评估是否出现更好的风险回报比。
失效条件：若股价放量跌破80美元关键支撑区域并无法快速收回，则震荡格局可能被打破，下行风险加剧。若股价强势突破并站稳114.63美元上方，则观望立场需重新评估。
适合的场景：适合能忍受极高波动、擅长区间交易且反应迅速的短线交易者；适合已持仓者进行利润保护和仓位调整的阶段。
不适合的场景：不适合寻求稳定趋势、低波动参与的投资者；不适合风险厌恶型或希望立即获得明确方向指引的投资者。
证据摘要：1. 技术面：所有动量指标（RSI 77.74， MACD高位）均显示严重超买；价格创高后大幅回落收长阴，且出现量价背离；波动率（ATR）急剧扩张，显示情绪不稳定。2. 基本面/新闻面：重大订单催化已落地，改变了长期增长叙事，但股价已对此做出剧烈反应。3. 综合判断：技术性回调压力与基本面利好支撑在短期内势均力敌，报告核心建议也是“不建议追高”、“耐心等待回调或整理后机会”，符合“震荡等待确认”状态。"
7,AAOI,2026-03-10,lite,deepseek-chat,"market,news,fundamentals",,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round03\reports\AAOI\0421-1126-AAOI\reports\2026-0310-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0310-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0310-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-10
截面日期：2026-03-09
截面价格：110.62美元
趋势判断：趋势延续
建议行动：择机买入
1-2周核心判断：未来1-2周方向仍偏多。公司获得重大突破性订单这一基本面核心叙事未变，技术面长期与中期趋势结构完好，价格处于强势上升趋势中的高位整理。尽管短期存在极端超买和高波动风险，但报告核心建议是“等待回调至支撑区参与”，而非转向防守或认为上涨逻辑破坏，因此更符合“趋势延续”状态。
执行摘要：AAOI在获得改变游戏规则的1.6T光模块订单后，基本面叙事发生根本性转变，驱动股价进入极端强势趋势。技术面显示所有趋势指标强劲向上，但短期处于超买后的高波动整理。未来1-2周，上涨逻辑仍占主导，但参与方式应避免追高，耐心等待回调至关键支撑区域再行布局。
关键催化因素：1. 获得主要超大规模客户首个体积订单，切入AI基础设施核心供应链，预计2026年Q3-Q4出货。2. 分析师据此上调目标价至140美元。3. 公司规划至2026年底800G/1.6T月产能超50万，支撑增长叙事。
关键风险：1. 技术面RSI极端超买，存在强烈技术性回调需求。2. 股价短期涨幅巨大，波动率(ATR)高企，单日波动剧烈。3. 基本面仍处于“增收不增利”阶段，经营现金流为负，依赖外部融资。
入场方式：等待价格回调至84.00-95.00美元支撑区间（重点关注84.23美元突破位及10日EMA动态支撑），出现企稳信号后分批参与。
失效条件：日线收盘价有效跌破84.00美元关键支撑位，且MACD出现高位死叉，则上涨趋势可能阶段性失效。
适合的场景：高风险偏好的趋势交易者，能够承受高波动并愿意等待回调机会布局，相信公司基本面拐点叙事。
不适合的场景：低风险承受能力、追求稳定盈利或短期交易的投资者；无法接受价格可能从当前水平大幅回调至支撑区的投资者。
证据摘要：1. 基本面：营收同比大增82.7%，并获得重大突破性订单，增长叙事强劲。2. 技术面：各周期均线呈多头排列，价格远高于均线，MACD动量强劲，趋势结构完好。3. 报告核心建议：明确反对追高，但给出回调至84-95美元区间的参与计划，属于“趋势延续”下的“择机买入”逻辑。"
8,AAOI,2026-03-11,lite,deepseek-chat,"market,news,fundamentals",,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round03\reports\AAOI\0421-1126-AAOI\reports\2026-0311-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0311-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0311-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-11
截面日期：2026-03-10
截面价格：120.49美元
趋势判断：震荡等待确认
建议行动：保持观望
1-2周核心判断：未来1-2周方向性不足，价格处于极端超买后的高波动消化期。尽管长期趋势和基本面叙事强劲，但短期技术面显示回调或高位宽幅震荡的概率远高于继续直线拉升。多空因素互相抵消：重大订单利好已部分定价，而RSI极端超买、价格大幅偏离均线以及宏观情绪扰动构成了强烈的短期下行风险。当前最合理的判断是等待市场消化超买状态，方向需要进一步确认。
执行摘要：技术面显示极端超买与高波动风险，基本面重大利好已驱动股价飙升。未来1-2周更可能进入回调或高位震荡以消化涨幅，而非延续单边上涨。建议暂时观望，等待更好的风险收益比出现。
关键催化因素：1. 获得超大规模客户超过2亿美元的1.6T光模块批量订单，证实商业化能力。2. Rosenblatt将目标价上调至140美元，强化乐观预期。3. AI基础设施“高速公路”建设成为市场焦点叙事，提升板块关注度。
关键风险：1. 技术面RSI持续80以上极端超买，存在极高技术性回调风险。2. 价格严重偏离中期均线，均值回归引力强。3. 波动率（ATR）急剧扩张，易出现巨幅震荡。4. 基本面存在订单执行与产能爬坡不及预期的风险。
入场方式：当前不急于建立新仓位。若未来价格能健康回调至关键支撑区（如95-100美元）并出现企稳信号（如缩量、RSI回落至60附近），可考虑转为“择机买入”。若价格能强势整理后放量突破前高127.39美元，也可能提供趋势延续的确认信号。
失效条件：若价格放量跌破95美元关键支撑区域且无法快速收回，可能预示短期上涨趋势阶段性结束，需警惕进一步下行风险。
适合的场景：适合能承受高波动、擅长区间交易或等待明确信号后右侧交易的投资者；适合已有持仓者进行利润保护和仓位调整。
不适合的场景：不适合风险厌恶型投资者；不适合在当前位置追高建仓的趋势跟随者；不适合寻求短期稳定收益的交易者。
证据摘要：1. 技术分析明确指出“极端超买”、“严禁追高”，未来1-3周深度回调或宽幅震荡概率高。2. 新闻分析认为股价在利好刺激后已大幅上涨，短期可能进入震荡消化期，建议等待回调或确认。3. 基本面显示公司处于“高增长、高投入、暂亏损”阶段，现金流为负，短期股价已反映大量乐观预期。综合来看，未来1-2周缺乏清晰的单向驱动，更适合观望。"
9,AAOI,2026-03-12,lite,deepseek-chat,"market,news,fundamentals",,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round03\reports\AAOI\0421-1126-AAOI\reports\2026-0312-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0312-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0312-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-12
截面日期：2026-03-11
截面价格：127.01美元
趋势判断：趋势延续
建议行动：择机买入
1-2周核心判断：未来1-2周方向仍偏多，上涨的核心逻辑（1.6T订单落地、营收高增长）未被破坏。当前价格处于短期过热后的消化期，技术面存在强烈回调需求，但整体趋势结构完好。未来1-2周更可能呈现高位震荡或健康回调，为更好的多头参与位置创造条件，而非趋势反转。
执行摘要：技术面显示强劲多头趋势但短期严重超买，基本面因重大订单实现突破。未来1-2周不建议追高，核心策略是等待价格回调至关键支撑区域后寻求介入机会，以更好的风险回报比参与仍在延续的上升趋势。
关键催化因素：1. 获得首笔主要客户1.6T光模块批量订单（价值超2亿美元），验证技术实力并锁定中期收入。2. 营收同比爆发式增长（82.7%）与毛利率提升，基本面成长叙事强劲。3. AI基础设施投资向光通信传导的行业趋势。
关键风险：1. 技术面极端超买，价格偏离均线过大，存在强烈的技术性回调压力。2. ATM增发计划至5亿美元带来的潜在股权稀释担忧。3. 经营现金流仍为巨额负值，商业模式可持续性待验证。4. 宏观层面地缘政治（美伊局势）可能引发市场波动。
入场方式：等待价格回调至关键支撑区域分批参与。第一档：110-112美元区间（近期突破位）；第二档：95-99美元区间（强支撑与缺口区域）。需观察回调企稳信号。
失效条件：价格收盘于95美元（强支撑区下沿）以下，且10日指数移动平均线（当前101.25美元）被有效跌破并拐头向下，可能预示短期趋势破坏。
适合的场景：相信公司基本面突破叙事、能承受高波动、并愿意耐心等待回调后入场的机会型交易者。
不适合的场景：追求稳定收益的价值投资者；无法承受剧烈价格波动或无法严格执行止损的风险厌恶者；希望立即买入并持有不动的投资者。
证据摘要：1. 技术趋势：所有周期均线多头排列，价格远高于均线，趋势强劲，但RSI自超买区回落、MACD高位走平，显示短期需整理。2. 基本面催化：1.6T批量订单落地是改变增长预期的根本性利好，营收高增长持续。3. 报告建议：技术报告明确建议“回调参与”，新闻报告认为基本面突破压倒宏观噪音，两者均未转向看空或建议立即卖出，核心是等待更好买点。"
10,AAOI,2026-03-13,lite,deepseek-chat,"market,news,fundamentals",,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round03\reports\AAOI\0421-1126-AAOI\reports\2026-0313-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0313-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round20\reports\AAOI\0423-0132-AAOI\reports\2026-0313-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-13
截面日期：2026-03-12
截面价格：106.19美元
趋势判断：趋势延续
建议行动：择机买入
1-2周核心判断：未来1-2周方向仍偏多，但过程将伴随高波动整理。核心上涨逻辑（1.6T大订单验证基本面拐点、长期技术趋势强劲）未被破坏，当前回调属于暴涨后的获利回吐与融资担忧引发的短期消化。价格在测试关键短期支撑后，更可能为后续上涨蓄势，而非趋势反转。
执行摘要：技术面长中短期趋势均看涨，但短期严重超买后出现回调；基本面因重大订单实现突破，但被同时宣布的扩大融资计划扰动。综合来看，积极因素占主导，未来1-2周更可能呈现“回调-企稳-再评估上行”的路径，而非单边下跌。操作上应避免追高，等待更好的回调参与位置。
关键催化因素：1.6T光模块批量订单（超2亿美元）验证技术卡位与增长能见度；行业AI投资向光网络传导的景气叙事；收入与毛利率双改善的基本面拐点预期。
关键风险：短期涨幅过大引发的技术性回调压力；ATM股权融资扩大至5亿美元带来的稀释担忧与情绪压制；经营现金流持续为负；宏观地缘政治风险影响市场风险偏好。
入场方式：等待价格回调至80.00-95.00美元关键支撑区间企稳后分批参与。
失效条件：价格有效跌破50日移动平均线（当前约55.51美元，持续上行中）并无法快速收回。
适合的场景：能够承受高波动、愿意为基本面拐点预期下注并等待回调的成长型/趋势交易者。
不适合的场景：追求稳定现金流和即时盈利的价值投资者；无法忍受大幅日内波动和短期浮亏的保守型交易者。
证据摘要：1. 技术趋势：长期、中期、短期均线呈多头排列，价格仍高于关键短期均线（10日EMA）。2. 基本面催化：获得首个大客户1.6T批量订单，收入与毛利率显著改善，构成根本性利好。3. 市场逻辑：报告核心建议为“回调参与”而非“离场观望”，正文强调上涨逻辑未破坏，等待更好位置介入。4. 风险可控：主要风险（融资、波动）被视为短期扰动，而非趋势破坏因素。"
