ticker,trade_date,action,trend_judgment,scenario_type,primary_driver,trend_integrity,risk_state,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
2513.HK,2026-03-02,sell,风险主导,Beta情绪技术驱动型,Beta与技术结构主导,边际走弱,风险主导,575.0,575.0港元,对于已有持仓，建议利用向阻力区（如670-700港元）的反弹进行减仓或获利了结，以控制风险敞口。,670.0,700.0,,['若地缘政治局势出现快速且决定性的缓和，同时股价放量强势突破并站稳725港元历史高点，则下行风险逻辑失效。但此情景在未来1-2周内发生概率较低。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0302-2513HK\2_decision\summary.md
2513.HK,2026-03-03,hold,震荡等待确认,催化后高波动整理型,多因素混合主导,边际走弱,风险与机会拉锯,550.0,550.0港元,当前不急于建立新仓位。若未来转为偏多，需满足以下条件之一：1) 宏观风险缓和，且价格在480-520港元支撑区间企稳后反弹；2) 价格放量突破630-650港元阻力区。若转为偏空，触发条件为价格有效跌破470-480港元支撑。,480.0,520.0,,['本“保持观望”建议的失效条件是上述“入场方式”中任一方向的条件被触发，届时信号将相应切换为“择机买入”或“建议卖出”。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0303-2513HK\2_decision\summary.md
2513.HK,2026-03-04,hold,震荡等待确认,催化后高波动整理型,催化消化主导,边际走弱,风险与机会拉锯,528.0,528.0港元,当前不急于参与。若未来价格能回调至402-460港元强支撑区域并出现企稳反弹信号，可考虑分批布局；或等待宏观风险缓和、价格放量突破并站稳560-580港元阻力区后，再评估做多机会。,402.0,460.0,,['对于潜在的做多机会，失效条件是价格放量跌破402港元支撑区域且无法快速收回。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0304-2513HK\2_decision\summary.md
2513.HK,2026-03-05,hold,震荡等待确认,催化后高波动整理型,催化消化主导,边际走弱,风险与机会拉锯,510.0,510.0港元,当前不急于参与。若未来价格放量突破592港元阻力，可考虑趋势转强可能；若价格回调至333-450港元区域并出现缩量企稳及动量拐点信号，可评估做多机会。,333.0,450.0,,['1. （转多失效）价格跌破并持续运行于50日/200日均线（333.6港元）下方。2. （转空失效）价格放量突破并站稳628-666港元阻力区上方。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0305-2513HK\2_decision\summary.md
2513.HK,2026-03-06,hold,震荡等待确认,催化后高波动整理型,催化消化主导,边际走弱,风险与机会拉锯,520.0,520.0港元,当前保持观望。若转多，需价格在500-510港元支撑带明确缩量企稳后，放量突破并站稳560港元。若转空，触发条件为日线收盘价确认跌破500港元。,500.0,510.0,,['1. 若等待转多，则失效条件为价格未能站稳560港元便再度转弱，或直接放量跌破500港元。2. 若等待转空，则失效条件为价格在500港元上方强势整理后，直接放量突破575港元阻力。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0306-2513HK\2_decision\summary.md
2513.HK,2026-03-09,sell,风险主导,Beta情绪技术驱动型,Beta与技术结构主导,边际走弱,风险主导,532.0,532.0港元,对于已有持仓，建议利用任何向阻力位（如580-600港元）的反弹进行减仓或止损撤离。不应在当前环境下寻求新的买入。,580.0,600.0,1.0,['若未来1-2周内，中东局势出现戏剧性缓和，油价快速回落至冲突前水平，且股价能放量强势收复并站稳600港元关键阻力之上，则空头风险主导逻辑可能失效。但此情景概率较低。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0309-2513HK\2_decision\summary.md
2513.HK,2026-03-10,buy_on_pullback,趋势延续,Beta情绪技术驱动型,Beta与技术结构主导,完整,风险与机会拉锯,575.0,575.0美元,等待价格回调至500-520美元区间企稳（例如出现长下影线、阳包阴等信号）后轻仓参与。,500.0,520.0,480.0,['价格放量跌破480美元关键支撑位并无法快速收回。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0310-2513HK\2_decision\summary.md
2513.HK,2026-03-11,hold,震荡等待确认,Beta情绪技术驱动型,Beta与技术结构主导,边际走弱,风险与机会拉锯,649.0,649.0港元,当前不急于参与。若未来转多，需满足：1. 宏观风险出现明确缓和信号；2. 股价回调至510-520港元支撑区域并出现企稳迹象。若未来转空，触发条件为：股价放量跌破490-500港元支撑平台。,510.0,520.0,,['本“观望”建议的失效条件为上述“入场方式”中任一方向的条件被触发并确认。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0311-2513HK\2_decision\summary.md
2513.HK,2026-03-12,hold,震荡等待确认,Beta情绪技术驱动型,Beta与技术结构主导,边际走弱,风险与机会拉锯,609.5,609.5美元,当前不急于参与。若未来转多，需等待两个条件之一：1. 地缘风险出现明确缓和信号，且股价在560-575支撑带企稳反弹。2. 股价放量突破并站稳650-670阻力区，确认短期调整结束。,560.0,575.0,510.0,['1. 股价放量跌破510-520美元支撑区，并威胁长期均线支撑。2. 地缘政治风险持续恶化，引发港股市场系统性下跌。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0312-2513HK\2_decision\summary.md
2513.HK,2026-03-13,sell,风险主导,Beta情绪技术驱动型,Beta与技术结构主导,边际走弱,风险主导,555.5,555.5港元,对于已有持仓，建议利用任何向技术阻力位（如610-628港元区间）的反弹进行减仓，以控制风险敞口。,610.0,628.0,1.0,['若未来1-2周内地缘政治风险出现超预期快速缓和（如美伊达成停火协议），且股价能伴随成交量强势收复并站稳短期均线（如10日EMA）之上，则下行风险主导的判断可能失效。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0313-2513HK\2_decision\summary.md
2513.HK,2026-03-16,hold,震荡等待确认,Beta情绪技术驱动型,Beta与技术结构主导,边际走弱,风险与机会拉锯,530.0,530.0美元,当前不建立新仓位。若未来价格放量突破并站稳582-600阻力区，可考虑趋势延续的做多机会。若价格回调至500-510支撑区并出现企稳信号，可评估做多风险回报比。,582.0,600.0,500.0,['对于潜在的转多机会，失效条件为价格周线收盘有效跌破500美元关口。对于整体观望立场，失效条件为上述关键催化或风险因素之一成为现实，从而打破当前多空拉锯格局。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0316-2513HK\2_decision\summary.md
2513.HK,2026-03-17,hold,震荡等待确认,Beta情绪技术驱动型,Beta与技术结构主导,边际走弱,风险与机会拉锯,605.0,605.0港元,当前不急于参与。若未来价格放量突破725港元，可考虑趋势确认后回调介入；或若价格回调至560-575港元支撑区间并出现企稳信号，可轻仓试探。两者均需严格止损。,560.0,575.0,,['对于潜在的突破做多策略，失效条件为价格突破725港元后迅速跌回其下方，或未能站稳。对于回调做多策略，失效条件为价格跌破560港元支撑。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0317-2513HK\2_decision\summary.md
2513.HK,2026-03-18,buy_on_pullback,趋势延续,Beta情绪技术驱动型,Beta与技术结构主导,完整,风险与机会拉锯,621.5,621.5美元,等待价格回调至550-560美元关键支撑区间并出现企稳信号（如日线级别pin bar、晨星形态或成交量萎缩后再次放大）时分批介入。,550.0,560.0,550.0,['收盘价有效跌破550美元关键支撑位，且反弹无力重回其上。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0318-2513HK\2_decision\summary.md
2513.HK,2026-03-19,buy_on_pullback,趋势延续,Beta情绪技术驱动型,Beta与技术结构主导,完整,风险与机会拉锯,742.5,742.5美元,等待价格回调至关键支撑区域企稳后分批参与。重点关注两个区间：1）短期支撑 621.5-605.0美元区域（测试10日EMA及近期低点）；2）中期强支撑 560.0-555.5美元区域。,605.0,621.5,555.5,['收盘价有效跌破 555.5 美元的中期强支撑平台，则本轮上涨结构可能破坏，趋势转为震荡或深度回调。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0319-2513HK\2_decision\summary.md
2513.HK,2026-03-20,buy_on_pullback,趋势延续,Beta情绪技术驱动型,Beta与技术结构主导,完整,风险与机会拉锯,659.0,659.0美元,等待价格回调至618-625美元（10日EMA附近）或560-575美元（前期平台）支撑区间，出现企稳反弹信号时分批介入。,618.0,625.0,560.0,['价格放量跌破560-575美元强支撑区域，并导致50日SMA趋势走平或拐头向下。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0320-2513HK\2_decision\summary.md
2513.HK,2026-03-23,buy_on_pullback,趋势延续,Beta情绪技术驱动型,Beta与技术结构主导,完整,风险与机会拉锯,630.5,630.5美元,等待价格回调至555.5-600.0美元支撑区间，出现企稳信号后分批参与。,555.5,600.0,555.5,['价格放量跌破555.5美元关键支撑平台且无法快速收回。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0323-2513HK\2_decision\summary.md
2513.HK,2026-03-24,buy_on_pullback,趋势延续,Beta情绪技术驱动型,Beta与技术结构主导,完整,风险与机会拉锯,590.0,590.0美元,等待价格回调至555-570美元支撑区间并出现企稳信号（如小时图阳线反包、缩量十字星）后分批买入。,555.0,570.0,510.0,['收盘价有效跌破510美元支撑带。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\2513.HK\0423-1227-2513HK\reports\2026-0324-2513HK\2_decision\summary.md
