ticker,trade_date,action,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
MU,2026-03-02,buy_on_pullback,412.37,412.37美元,回调至400-405美元支撑区域企稳后分批买入；或等待放量突破430-436美元阻力区后轻仓追多。,400.0,405.0,400.0,"['1. 价格日线收盘有效跌破400美元整数支撑。', '2. 价格周线收盘跌破50日均线（当前约365美元，动态上升）。', '适合的场景**', '- 能承受较高波动、理解半导体周期特性的投资者。', '- 看好AI驱动内存长期需求，并愿意利用短期回调布局。', '- 采用分批建仓、严格止损的交易策略。', '不适合的场景**', '- 追求短期快速上涨、无法接受10%以上回调的投资者。', '- 风险偏好极低，无法容忍地缘政治事件引发的日内剧烈波动。', '- 希望单笔全仓买入并持有不动。', '证据摘要**', '1. **技术趋势完好**：长期（200日均线）、中期（50日均线）均呈多头排列，价格虽高位整理但未破关键支撑。', '2. **基本面强劲**：HBM需求锁定、财报盈利大幅改善，提供估值支撑。', '3. **宏观扰动属短期噪音**：地缘风险虽压制市场情绪，但未破坏公司自身成长逻辑，且股价已部分消化该风险。', '4. **价格行为偏整固**：RSI从超买回落至中性，波动率收缩，更类似趋势中的健康回调而非趋势反转。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\MU\0422-2215-MU\reports\2026-0302-MU\2_decision\summary.md
MU,2026-03-03,sell,412.67,412.67美元,（以已有持仓视角）考虑反弹减仓或设定止损。可参考在股价向近期阻力位425-430美元区域反弹时部分获利了结；或设置止损于关键支撑397美元下方。,425.0,430.0,,"['1.  股价日线收盘价强势收复并站稳430美元阻力位上方。', '2.  美伊冲突迅速缓和，且股价放量回升至短期均线（10日EMA）之上，表明宏观恐慌消退且技术面修复。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\MU\0422-2215-MU\reports\2026-0303-MU\2_decision\summary.md
MU,2026-03-04,buy_on_pullback,379.68,379.68美元,回调至370-355美元区间并出现日线级别企稳信号（如锤头线、晨星组合或RSI底背离）后分批买入。,355.0,370.0,350.0,"['收盘价有效跌破350美元（50日均线下方关键支撑），视为中期上涨结构破坏。', '适合的场景**', '- 相信AI内存需求长期逻辑、能承受高波动的中线投资者。', '- 愿意等待回调至关键支撑区域后分批建仓的交易者。', '不适合的场景**', '- 追求短期追涨、无法接受宽幅震荡的短线交易者。', '- 要求绝对低风险、无法容忍价格可能测试350美元的保守投资者。', '证据摘要**', '1. **技术趋势完好**：价格远高于200日/50日均线，长期与中期多头排列未破坏；当前回调正测试关键支撑带（370-375美元），属趋势内整固。', '2. **基本面支撑强劲**：AI内存产能售罄至2026年，新产品送样，营收与现金流表现亮眼，上涨核心逻辑未动摇。', '3. **新闻面多空拉锯但未压倒趋势**：机构调仓与宏观风险构成短期扰动，但公司层面积极进展（产品发布、投资者增持）提供对冲。', '4. **报告核心建议一致**：技术报告建议“回调参与”，新闻报告指出“基本面与宏观压力角力但未转向”，基本面报告结论为“持有/逢低买入”，整体指向“趋势延续下的更好介入机会”。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\MU\0422-2215-MU\reports\2026-0304-MU\2_decision\summary.md
MU,2026-03-05,buy_on_pullback,400.77,400.77美元,回调至373-379美元支撑区域（50日SMA与布林带下轨汇聚区），出现企稳信号（如长下影线、缩量或RSI底背离）后分批介入。,373.0,379.0,373.0,"['收盘价有效跌破373美元（如连续两日收于其下或单日放量长阴跌破），意味中期上升结构破坏，多头逻辑失效。', '适合的场景**', '- 能承受高波动、理解半导体周期特性的投资者。', '- 看好AI硬件长期趋势，愿意等待回调布局的配置型交易。', '- 接受分批建仓，不追涨的交易策略。', '不适合的场景**', '- 追求低波动、稳定股息收入的保守型投资者。', '- 无法接受短期大幅回撤（如向373美元回调）的持仓者。', '- 希望立即追涨或进行日内短线交易的风格。', '证据摘要**', '1. **技术面**：长期趋势强劲（价格远高于200日SMA），中期关键支撑373-379美元未破；短期调整属趋势内回调，非结构破坏。', '2. **基本面**：2025财年营收同比增48.9%，毛利率39.8%，经营现金流175亿美元，显示行业上行周期强劲，AI需求提供结构性支撑。', '3. **新闻面**：AI内存需求与价格复苏叙事未变，地缘政治风险仅造成波动，未颠覆核心逻辑。', '4. **整体判断**：未来1-2周更可能先回调再延续上行，而非转入下跌或持续无方向震荡。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\MU\0422-2215-MU\reports\2026-0305-MU\2_decision\summary.md
MU,2026-03-06,buy_on_pullback,397.05,397.05美元,回调至370-385美元区间企稳后分批参与。企稳信号可参考：在该区域出现缩量、RSI底背离或日线收涨。,370.0,385.0,363.9,"['日线收盘价有效跌破363.9美元（2月低点），或反弹持续无法站回10日EMA（当前约399美元）并再度转弱。', '适合的场景**', '- 认同AI内存长期叙事、能承受高波动的中期趋势交易者。', '- 愿意等待回调至关键支撑区后分批建仓的投资者。', '不适合的场景**', '- 无法接受单周波动可能超过10%的短线交易者。', '- 要求立即突破、厌恶整理行情的追涨策略。', '证据摘要**', '1. **技术结构**：长期（200日SMA向上）与中期（50日SMA向上）趋势完好，价格仍高于关键均线；短期回调测试支撑，属趋势内整固。', '2. **基本面**：财报显示盈利强劲复苏（净利润85亿美元），现金流充裕，AI内存技术突破强化增长逻辑。', '3. **催化与风险**：纳入标普100提供资金面支撑，但宏观地缘风险短期压制情绪；两者博弈中，趋势结构未破坏，支撑区上方仍偏多。', '4. **报告倾向**：技术报告建议“回调参与”，新闻报告指出宏观风险但基本面未变，基本面报告支持“持有或逢低增持”；整体指向“趋势延续，等待更好位置”。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\MU\0422-2215-MU\reports\2026-0306-MU\2_decision\summary.md
MU,2026-03-09,buy_on_pullback,370.3,370.30美元,回调至370-378美元区域（50日SMA附近）企稳后分批买入。可观察缩量十字星、看涨吞没等企稳K线信号。,370.0,378.0,360.0,"['1. 价格周线收盘价有效跌破360美元（前期平台及更深层支撑）。', '2. 财报后放量跌破360美元且无法快速收回。', '适合的场景**', '- 能承受较高波动、理解半导体周期特性的投资者。', '- 相信AI内存需求长期叙事，并愿意在趋势回调中布局。', '- 采用分批建仓、严格止损的纪律性策略。', '不适合的场景**', '- 追求短期追涨、无法接受财报前震荡的交易者。', '- 风险偏好极低、无法容忍宏观事件引发剧烈波动的投资者。', '- 要求绝对精准底部或无回调直接上涨的完美入场。', '证据摘要**', '1. **技术结构**：长期（200日SMA）与中期（50日SMA）趋势明确向上，价格首次回踩50日SMA属趋势内健康回调；短期动量（MACD、RSI）衰减但未破坏上升结构。', '2. **基本面**：2025Q4营收同比增48.9%，毛利率升至39.8%，经营现金流达175亿美元，显示周期上行盈利弹性强劲。', '3. **催化与风险平衡**：财报（3月18日）为近期关键催化剂，宏观地缘风险为短期噪音但未改变行业上行逻辑。', '4. **报告核心建议**：技术报告建议“等待回调至支撑区企稳后参与”，新闻报告指出“积极基本面遭遇宏观逆风，中期趋势向上”，基本面报告确认“周期复苏明确”。整体指向“趋势延续，但需等待更好位置”。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\MU\0422-2215-MU\reports\2026-0309-MU\2_decision\summary.md
MU,2026-03-10,buy_on_pullback,389.32,389.32美元,回调至370-380美元区间（测试50日均线及前期低点支撑）企稳后分批参与。需伴随缩量或看涨反转K线形态确认。,370.0,380.0,357.0,"['日线收盘价有效跌破357美元（近期闪崩低点），视为上涨结构破坏，多头策略失效。', '12. 适合的场景**', '- 能承受半导体行业高波动、理解周期属性的进取型投资者。', '- 看好AI基础设施长期主题，愿意利用短期调整布局。', '- 采用分批建仓、严格止损的交易纪律。', '13. 不适合的场景**', '- 追求稳定股息、厌恶高波动的保守型投资者。', '- 期望短期追高快速获利的交易者。', '- 无法严格执行止损纪律的投资者。', '14. 证据摘要**', '- **技术结构**：长期趋势强劲（200日均线偏离度78%），中期关键支撑（50日均线380.30）仍在上行且正被测试，调整未破坏上升格局。', '- **基本面/新闻**：DRAM价格暴涨预期、AI合作深化、财报前乐观情绪构成强劲催化剂，主导近期上涨叙事。', '- **宏观/风险**：地缘政治噪音存在，但未压倒公司特定积极因素。', '- **整体逻辑**：未来1-2周更可能呈现“回调后企稳，等待财报催化”的偏多路径，而非方向性缺失或风险主导下行。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\MU\0422-2215-MU\reports\2026-0310-MU\2_decision\summary.md
MU,2026-03-11,buy_on_pullback,403.11,403.11美元,等待价格回调至380-390美元区间时分批参与。,380.0,390.0,367.0,['收盘价有效跌破367美元（近期闪跌低点附近），则中期上升结构可能破坏，多头策略失效。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\MU\0422-2215-MU\reports\2026-0311-MU\2_decision\summary.md
MU,2026-03-12,buy_on_pullback,418.69,418.69美元,等待价格回调至385-400美元支撑区间（重点关注50日SMA 385.20美元附近及400美元心理关口）企稳后分批买入。,385.0,400.0,370.3,"['1. 收盘价有效跌破370.30美元（近期强支撑）。', '2. 50日SMA拐头向下并失守。', '适合的场景**', '- 认同AI内存长期逻辑、能承受高波动的中期投资者。', '- 愿意等待回调布局、不急于追涨的交易策略。', '不适合的场景**', '- 追求短期快速上涨、无法接受高位震荡的短线交易。', '- 对宏观事件敏感、无法容忍地缘风险引发突发下跌的保守投资者。', '证据摘要**', '1. **技术结构**：价格高于所有关键均线（200日/50日/10日），长期与中期趋势明确向上；回调未破关键支撑，属趋势内整理。', '2. **基本面**：营收、盈利、现金流均强劲复苏，行业处于上行周期，AI需求提供长期动力。', '3. **宏观与新闻**：地缘风险构成短期情绪扰动，但未改变公司自身增长叙事；分析师上调目标价印证基本面乐观预期。', '4. **报告核心建议**：整体逻辑为“上涨趋势未坏，但宜回调买入”，而非转向观望或防守。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\MU\0422-2215-MU\reports\2026-0312-MU\2_decision\summary.md
MU,2026-03-13,hold,405.35,405.35美元,当前不急于参与。若未来转多，需满足：1) 宏观风险缓和（如油价显著回落）；且2) 股价放量突破418.70-420.00美元阻力区，或财报后出现强劲上涨确认。若未来转空，则关注价格收盘有效跌破387.00美元支撑。,418.7,420.0,,['此“观望”状态的失效条件即上述入场条件中的转多或转空信号被触发。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\MU\0422-2215-MU\reports\2026-0313-MU\2_decision\summary.md
