ticker,trade_date,action,trend_judgment,scenario_type,primary_driver,trend_integrity,risk_state,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
2513.HK,2026-03-02,sell,风险主导,催化后高波动整理型,多因素混合主导,边际走弱,风险主导,575.0,575.0港元,已有持仓者应考虑逢反弹减仓或止损。可在价格反弹至短期阻力区（如670-700港元）附近时进行部分获利了结。剩余仓位应设置严格止损，例如收盘价有效跌破480港元视为短期结构进一步恶化，需进一步减仓或离场。,670.0,700.0,,['1. 地缘政治危机迅速缓和，全球市场风险偏好强力反转，带动港股科技板块整体强势反弹。2. 公司发布颠覆性的重大利好（如获得巨额订单或战略融资），完全扭转市场对其财务风险的担忧。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\2513.HK\0423-1100-2513HK\reports\2026-0302-2513HK\2_decision\summary.md
2513.HK,2026-03-03,hold,震荡等待确认,催化后高波动整理型,多因素混合主导,边际走弱,风险与机会拉锯,550.0,550.0港元,当前不急于建立新仓位。若未来宏观风险缓和且价格能在480-520港元关键支撑带企稳，可考虑作为转多信号。若价格放量突破630-650港元阻力区，可作为趋势延续的确认信号。,480.0,520.0,470.0,['对于潜在多头头寸，失效条件为价格收盘价有效跌破470-480港元关键支撑区域，意味着整理失败且下行风险主导。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\2513.HK\0423-1100-2513HK\reports\2026-0303-2513HK\2_decision\summary.md
2513.HK,2026-03-04,hold,震荡等待确认,催化后高波动整理型,催化消化主导,边际走弱,风险与机会拉锯,528.0,528.0港元,当前不急于参与。若未来价格能在402-430港元强支撑区域出现企稳反弹信号，并伴随宏观风险缓和或公司正面催化，可考虑转为偏多。若价格放量突破并站稳560-580港元阻力区，且短期均线重新多头排列，也可视为转多信号。,402.0,430.0,,['1. 多头失效：价格放量跌破402港元关键支撑区域且无法快速收回。2. 空头失效：价格放量突破并站稳628-672.5港元阻力区，且宏观风险显著缓和。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\2513.HK\0423-1100-2513HK\reports\2026-0304-2513HK\2_decision\summary.md
2513.HK,2026-03-05,sell,风险主导,催化后高波动整理型,多因素混合主导,边际走弱,风险与机会拉锯,510.0,510.0港元,对于已有持仓，建议利用股价向578-592港元阻力区域反弹的机会减仓；或设置紧密止损于495港元下方。,578.0,592.0,,['1）股价放量强势回升并站稳10日EMA（当前约522港元）上方；2）宏观地缘风险出现明确且持续的缓和信号，市场风险偏好显著修复。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\2513.HK\0423-1100-2513HK\reports\2026-0305-2513HK\2_decision\summary.md
2513.HK,2026-03-06,hold,震荡等待确认,催化后高波动整理型,催化消化主导,边际走弱,风险与机会拉锯,520.0,520.0港元,当前不急于建立新仓位。若未来价格放量站稳560港元且MACD动能重新转强，可考虑趋势转多；若收盘价确认跌破500港元支撑，则趋势转空。,,,,['1. 多头失效：价格日线收盘价跌破500港元支撑位。2. 空头失效：价格放量突破并站稳560港元阻力区，且带动短期均线重新多头排列。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\2513.HK\0423-1100-2513HK\reports\2026-0306-2513HK\2_decision\summary.md
2513.HK,2026-03-09,hold,震荡等待确认,催化后高波动整理型,催化消化主导,边际走弱,风险与机会拉锯,532.0,532.0港元,当前不急于参与。若未来宏观风险缓和（如油价显著回落、冲突出现降温迹象）且股价能在500-510港元关键支撑带上方企稳，可考虑转为偏多思路。若公司发布重大个体利好，则需重新评估。,500.0,510.0,480.0,['1. 宏观风险主导情境失效条件：地缘局势显著缓和，油价持续回落，全球风险偏好修复。2. 技术面偏多情境失效条件：收盘价有效跌破480-500港元支撑区。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\2513.HK\0423-1100-2513HK\reports\2026-0309-2513HK\2_decision\summary.md
2513.HK,2026-03-10,hold,震荡等待确认,催化后高波动整理型,催化消化主导,完整,风险与机会拉锯,575.0,575.0美元,当前不急于参与。若未来价格带量突破625美元，可视为转多信号考虑右侧跟进；若价格回调至500-510美元支撑区间并出现企稳信号，可视为潜在左侧机会。在此之前保持观望。,500.0,510.0,480.0,['1. 多头观点失效：价格放量跌破480美元支撑位。2. 空头观点失效：价格放量突破并站稳625美元阻力位。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\2513.HK\0423-1100-2513HK\reports\2026-0310-2513HK\2_decision\summary.md
2513.HK,2026-03-11,sell,风险主导,催化后高波动整理型,多因素混合主导,边际走弱,风险主导,649.0,649.0港元,对于已有持仓，建议利用任何向10日EMA（约564港元）或以上的反弹进行减仓，以控制风险暴露。,,,,['若美伊冲突迅速出现外交解决迹象，且股价放量突破并站稳725港元历史前高，则看跌逻辑失效。但此情景在未来1-2周内概率较低。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\2513.HK\0423-1100-2513HK\reports\2026-0311-2513HK\2_decision\summary.md
2513.HK,2026-03-12,sell,风险主导,催化后高波动整理型,多因素混合主导,边际走弱,风险主导,609.5,609.5美元,对于已有持仓者，建议利用向阻力区（650-670美元）的反弹进行减仓。空仓者不应在此环境下新建多头仓位。,650.0,670.0,,['1. 地缘政治局势出现明确且可信的缓和信号，同时股价放量强势突破前高阻力区（708-725美元）。2. 公司发布远超市场预期的重大基本面利好，驱动股价独立走强。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\2513.HK\0423-1100-2513HK\reports\2026-0312-2513HK\2_decision\summary.md
2513.HK,2026-03-13,sell,风险主导,Beta情绪技术驱动型,Beta与技术结构主导,边际走弱,风险主导,555.5,555.5港元,对于已有持仓，建议利用任何向610-628港元区域的反弹进行减仓，以控制风险敞口。首要任务是降低仓位而非寻求新的买入点。,610.0,628.0,1.0,['若未来1-2周内地缘冲突出现确定性缓和（如双方停火谈判），且股价放量强势回升并站稳610-628港元阻力区之上，则下行风险主导的判断可能失效。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\2513.HK\0423-1100-2513HK\reports\2026-0313-2513HK\2_decision\summary.md
