ticker,trade_date,action,trend_judgment,scenario_type,primary_driver,trend_integrity,risk_state,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
MU,2026-03-02,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,完整,风险与机会拉锯,412.37,412.37美元,等待回调至400-405美元支撑区域企稳后参与，或更理想的373-380美元强支撑区域（布林带下轨及前期低点附近）分批买入。,400.0,405.0,365.0,['价格周线收盘有效跌破50日SMA（当前约365美元，动态上升），破坏中期上升趋势。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\MU\0423-1216-MU\reports\2026-0302-MU\2_decision\summary.md
MU,2026-03-03,hold,震荡等待确认,催化后高波动整理型,催化消化主导,边际走弱,风险与机会拉锯,412.67,412.67美元,当前不急于参与。若未来地缘风险显著缓和，且股价在368-373美元或397-401美元关键支撑区出现企稳回升信号，可考虑分批介入。若股价放量突破430-436美元阻力区并伴随动量指标转强，则表明调整可能结束，可考虑跟进。,368.0,373.0,363.0,['对于潜在的多头策略，失效条件为日线收盘价有效跌破363美元（前期重要底部），这可能意味着中期上升趋势被破坏，调整级别扩大。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\MU\0423-1216-MU\reports\2026-0303-MU\2_decision\summary.md
MU,2026-03-04,hold,震荡等待确认,催化后高波动整理型,多因素混合主导,边际走弱,风险与机会拉锯,379.68,379.68美元,当前不急于建立新仓位。若未来价格放量突破并站稳410-415美元阻力区，且MACD出现转强信号，可考虑转向偏多。若价格在370-355美元区域出现明确的日线级别企稳组合（如锤头线、晨星），可评估做多机会。,410.0,415.0,350.0,['对于潜在多头策略，失效条件为收盘价有效跌破350美元（50日均线下方关键心理关口），这意味着中期趋势结构破坏，调整级别扩大。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\MU\0423-1216-MU\reports\2026-0304-MU\2_decision\summary.md
MU,2026-03-05,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,边际走弱,风险与机会拉锯,400.77,400.77美元,等待价格回调至373-379美元支撑区域（汇集50日SMA及布林带下轨）出现企稳信号（如缩量、长下影线、分时图企稳）后分批买入。,373.0,379.0,370.0,['收盘价有效跌破370美元（即关键支撑区域下沿），或反弹持续无法收复并站稳410-412美元阻力区。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\MU\0423-1216-MU\reports\2026-0305-MU\2_decision\summary.md
MU,2026-03-06,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,完整,风险与机会拉锯,397.05,397.05美元,等待回调至370-385美元区间出现企稳信号（如缩量、RSI底背离、看涨K线组合）后参与。,370.0,385.0,363.9,['日线收盘价有效跌破363.90美元（2月低点）。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\MU\0423-1216-MU\reports\2026-0306-MU\2_decision\summary.md
MU,2026-03-09,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,边际走弱,风险与机会拉锯,370.3,370.30美元,等待回调至375-370美元支撑区域出现企稳信号（如缩量十字星、看涨吞没形态）后分批买入。,370.0,375.0,360.0,['股价周线收盘价有效跌破360美元（前期重要平台支撑）。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\MU\0423-1216-MU\reports\2026-0309-MU\2_decision\summary.md
MU,2026-03-10,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,边际走弱,风险与机会拉锯,389.32,389.32美元,回调至370-380美元区间（测试50日均线及前期低点支撑）企稳后参与。,370.0,380.0,357.0,['日线收盘价有效跌破357美元（近期闪崩低点）。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\MU\0423-1216-MU\reports\2026-0310-MU\2_decision\summary.md
MU,2026-03-11,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,边际走弱,风险与机会拉锯,403.11,403.11美元,回调至380-390美元区间分批买入。,380.0,390.0,367.0,['收盘价有效跌破367美元（近期闪跌低点），意味着中期上升结构破坏。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\MU\0423-1216-MU\reports\2026-0311-MU\2_decision\summary.md
MU,2026-03-12,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,完整,风险与机会拉锯,418.69,418.69美元,等待价格回调至400-390美元支撑区间（汇集前期低点及心理关口）或测试50日均线（约385.20美元）附近企稳后分批买入。,390.0,400.0,370.3,['收盘价有效跌破370.30美元（近期强支撑），或50日均线拐头向下，表明中期趋势破坏。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\MU\0423-1216-MU\reports\2026-0312-MU\2_decision\summary.md
MU,2026-03-13,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,完整,风险与机会拉锯,405.35,405.35美元,回调至387.00-397.00美元区间（靠近50日SMA支撑）企稳后分批参与。,387.0,397.0,377.0,['收盘价有效跌破377.00美元（布林带下轨及近期低点支撑），意味着中期调整加剧，上升结构可能被破坏。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\MU\0423-1216-MU\reports\2026-0313-MU\2_decision\summary.md
