ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,quantity,exit_signal_date,exit_signal_action,report_path
2513.HK,2026-03-02,sell,skipped,,,,,action_sell_no_position,,,575.0,（以已有持仓视角）*,,,1.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0302-2513HK\2_decision\summary.md
2513.HK,2026-03-03,sell,skipped,,,,,action_sell_no_position,,,550.0,（已有持仓视角）考虑在价格反弹至**600-630港元**阻力区域附近部分减仓，降低风险敞口。剩余仓位可将**525港元**（10日EMA）作为追踪止盈参考，若收盘价有效跌破该位置，应考虑进一步减仓或离场。,600.0,630.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0303-2513HK\2_decision\summary.md
2513.HK,2026-03-04,hold,skipped,,,,,action_hold,,,528.0,当前不急于建立新仓位。若未来价格能**放量突破并站稳560-580港元阻力区**，且宏观情绪同步改善，可视为短期转强信号。或等待价格**回调至402-430港元强支撑区域并出现企稳反弹信号**后，再评估做多机会。,560.0,580.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0304-2513HK\2_decision\summary.md
2513.HK,2026-03-05,sell,skipped,,,,,action_sell_no_position,,,510.0,（已有持仓视角）在反弹至578-592港元阻力区域附近减仓；或设置紧密止损于495港元下方（即跌破500港元支撑后离场）。,578.0,592.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0305-2513HK\2_decision\summary.md
2513.HK,2026-03-06,buy_on_pullback,triggered,2026-03-09,510.0,2026-03-10,648.0,sell_signal,1.0,27.0588,520.0,1.  **回调企稳参与**：价格回调至500-510港元支撑区间，出现缩量止跌K线组合（如单针探底、小阳线）后分批买入。,500.0,510.0,1.0,1,2026-03-09,sell,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0306-2513HK\2_decision\summary.md
2513.HK,2026-03-09,sell,triggered_exit,2026-03-09,510.0,2026-03-10,648.0,closed_position_fifo,1.0,,532.0,（基于已有持仓视角）考虑减仓或止损。反弹至580-600港元区域无力突破时，可作为减仓参考。,580.0,600.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0309-2513HK\2_decision\summary.md
2513.HK,2026-03-10,buy_on_pullback,triggered,2026-03-13,520.0,2026-03-16,545.0,sell_signal,3.0,4.8077,575.0,等待价格回调至**500-520美元**支撑区间出现企稳信号（如分时图企稳、小级别K线反转形态）后轻仓试多。或，若价格放量突破**625美元**阻力，可作为右侧确认信号跟进。,500.0,520.0,480.0,1,2026-03-13,sell,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0310-2513HK\2_decision\summary.md
2513.HK,2026-03-11,sell,skipped,,,,,action_sell_no_position,,,649.0,（基于已有持仓视角）考虑减仓或止损。可将反弹视为减仓机会，或设定价格跌破关键支撑（如510港元）作为止损触发条件。,,,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0311-2513HK\2_decision\summary.md
2513.HK,2026-03-12,sell,skipped,,,,,action_sell_no_position,,,609.5,（基于已有持仓视角）考虑反弹减仓或现价止损。可参考在价格反弹至650-670美元阻力区域时部分减仓；若价格直接下跌，则考虑以跌破560-575美元关键支撑区域作为进一步减仓或止损的触发条件。,650.0,670.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0312-2513HK\2_decision\summary.md
2513.HK,2026-03-13,sell,triggered_exit,2026-03-13,520.0,2026-03-16,545.0,closed_position_fifo,3.0,,555.5,（已有持仓视角）逢反弹减仓。若价格反弹至短期阻力区610-628港元附近无法站稳，可分批减仓；若直接放量跌破短期支撑545.5港元，考虑进一步降低仓位。,610.0,628.0,1.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0313-2513HK\2_decision\summary.md
2513.HK,2026-03-16,buy_on_pullback,expired,,,,,entry_not_triggered,,,530.0,回调至 510-530 美元区间企稳后分批参与；或更稳健者等待价格接近 500 美元整数关口出现企稳信号（如单针探底后阳线收复）时参与。,510.0,530.0,500.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0316-2513HK\2_decision\summary.md
2513.HK,2026-03-17,hold,skipped,,,,,action_hold,,,605.0,当前不急于参与。若未来价格**放量突破725港元**或**回调至560-575港元区间企稳**，可重新评估转多信号；若**收盘价有效跌破560港元**，则可能转为偏空。,560.0,575.0,560.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0317-2513HK\2_decision\summary.md
2513.HK,2026-03-18,buy_on_pullback,expired,,,,,entry_not_triggered,,,621.5,等待价格回调至**550.00-560.00美元**关键支撑区间企稳（例如出现小时图级别pin bar、晨星形态或成交量萎缩后再次放大）后分批介入。,550.0,560.0,550.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0318-2513HK\2_decision\summary.md
2513.HK,2026-03-19,buy_on_pullback,expired,,,,,entry_not_triggered,,,742.5,等待价格回调至关键支撑区域分批参与：,,,555.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0319-2513HK\2_decision\summary.md
2513.HK,2026-03-20,sell,skipped,,,,,action_sell_no_position,,,659.0,（基于已有持仓视角）考虑利用任何向关键阻力区（700-738美元）的反弹进行减仓，以锁定部分利润或降低风险敞口。,700.0,738.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round11\reports\2513.HK\0422-2229-2513HK\reports\2026-0320-2513HK\2_decision\summary.md
