ticker,trade_date,action,trend_judgment,scenario_type,primary_driver,trend_integrity,risk_state,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
AAOI,2026-03-02,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险与机会拉锯,84.23,84.23美元,等待价格回调至关键支撑区域企稳后分批参与。重点关注两个区域：1. 回调至10日EMA（约65.50美元）附近并出现缩量企稳信号；2. 更深回调至跳空缺口上沿及前期平台区域（53.00-56.27美元）并出现止跌迹象。,53.0,56.27,42.82,['1. 价格跌破并持续运行于50日SMA（当前约42.82美元，动态上移）下方；2. 回补缺口后无力反弹，且成交量放大下跌，表明上涨动能衰竭。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0302-AAOI\2_decision\summary.md
AAOI,2026-03-03,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险与机会拉锯,102.51,102.51美元,等待价格回调至56.27-70.88美元区间（前期平台与10日EMA区域）企稳后分批参与。,56.27,70.88,44.18,['价格放量跌破44.18美元（50日SMA）并无法快速收回。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0303-AAOI\2_decision\summary.md
AAOI,2026-03-04,hold,震荡等待确认,催化后高波动整理型,催化消化主导,边际走弱,风险与机会拉锯,95.34,95.34美元,当前不急于参与。若未来价格能健康回调至关键支撑区域（如76.1美元附近或56.3-58.1美元区域）并出现企稳信号（如成交量萎缩、RSI脱离超买区后拐头），可考虑分批介入。或等待放量突破近期阻力102.5-110.0美元区域确认升势重启。,56.3,58.1,45.59,['1. 价格放量跌破2月27日跳空缺口下沿65.57美元并无法快速收回；2. 50日均线（当前45.59美元）被有效跌破且无法修复。这两种情况可能意味着本轮主升浪趋势破坏。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0304-AAOI\2_decision\summary.md
AAOI,2026-03-05,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险与机会拉锯,99.71,99.71美元,等待价格回调至80.67美元（10日EMA）至92.22美元（近期平台下沿）区间，出现企稳信号（如缩量、下影线、指标修复）后分批参与。,,,65.57,['日线收盘价有效跌破65.57美元（突破启动点），则意味着本轮上涨趋势可能被破坏，多头逻辑失效。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0305-AAOI\2_decision\summary.md
AAOI,2026-03-06,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险与机会拉锯,101.14,101.14美元,等待价格回调至关键支撑区域分批参与。优先关注92.00-93.80美元（近期震荡区间下沿）的企稳机会；其次关注83.00-85.00美元（10日EMA与突破缺口）区域的更深回调机会。,92.0,93.8,83.0,['日线收盘价有效跌破83.00美元（跌破10日EMA及巨量阳线起点），则短期强势结构破坏，上涨趋势可能中断，需重新评估。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0306-AAOI\2_decision\summary.md
AAOI,2026-03-09,hold,震荡等待确认,公司催化趋势型,公司催化主导,边际走弱,风险与机会拉锯,95.58,95.58美元,当前不建立新仓位。若未来价格能回调至80-85美元支撑区域并伴随波动率下降和企稳信号，可考虑首次试探性介入。或等待价格放量突破114.63美元前高确认趋势重启。,80.0,85.0,80.0,['若股价放量跌破80美元关键支撑区并无法快速收回，则意味着短期调整加深，看涨逻辑需重新评估。若股价无视超买继续强势突破前高，则观望策略失效，需重新评估趋势强度。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0309-AAOI\2_decision\summary.md
AAOI,2026-03-10,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险与机会拉锯,110.62,110.62美元,等待价格回调至84.00-95.00美元支撑区间（重点关注84.23美元突破位及10日EMA动态支撑），出现缩量企稳信号时分批买入。,84.0,95.0,84.0,['日线收盘价有效跌破84.00美元关键支撑位（2月27日突破收盘价），且伴随MACD高位死叉，则上涨趋势可能阶段性破坏，需止损。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0310-AAOI\2_decision\summary.md
AAOI,2026-03-11,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险与机会拉锯,120.49,120.49美元,等待价格回调至95.00-105.00美元支撑区域（汇集前期密集成交区、10日EMA及关键心理关口），出现缩量企稳或指标（如RSI回落至60附近）修复信号后分批轻仓介入。,95.0,105.0,95.0,['价格放量跌破95.00美元关键支撑区，且随后3个交易日内无法收回，同时10日EMA拐头向下。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0311-AAOI\2_decision\summary.md
AAOI,2026-03-12,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险未主导,127.01,127.01美元,等待价格回调至关键支撑区域分批布局。第一档：110-112美元区间（近期突破位）企稳后轻仓参与。第二档：95-99美元区间（强支撑与缺口区域）企稳后重点布局。,110.0,112.0,101.25,['价格收盘于95美元（强支撑区下沿）以下，且10日EMA（当前101.25美元）被有效跌破并拐头向下，这可能意味着本轮趋势性上涨结束。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0312-AAOI\2_decision\summary.md
AAOI,2026-03-13,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,边际走弱,风险与机会拉锯,106.19,106.19美元,耐心等待价格回调至80.00-95.00美元关键支撑区间（涵盖50日均线上方、前期缺口及密集成交区），出现企稳信号（如缩量、小K线）后分批参与。,80.0,95.0,55.51,['价格收盘价有效跌破50日移动平均线（当前约55.51美元，动态上行）并无法快速收回，表明中期上升趋势可能破坏。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0313-AAOI\2_decision\summary.md
