ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,report_path
AXTI,2026-03-02,hold,skipped,,,,,action_hold,,,37.9,当前不建议入场。未来若转多，需观察价格是否能在30.00-35.00美元支撑区间（特别是靠近30美元及50日均线区域）出现成交量萎缩后的企稳信号，或出现放量突破41.19美元的确认信号。,30.0,35.0,26.8,backtest\output\0420-1205-AXTI\reports\2026-0302-AXTI\2_decision\summary.md
AXTI,2026-03-03,hold,skipped,,,,,action_hold,,,46.32,当前不建议入场。未来若转为偏多，需观察两个条件：一是价格回调至37.90-35.08美元关键支撑区域并出现企稳信号（如缩量、RSI在50-60区域获得支撑）；二是宏观地缘政治风险出现明确缓和迹象（如油价与VIX同步回落）。,35.08,37.9,29.68,backtest\output\0420-1205-AXTI\reports\2026-0303-AXTI\2_decision\summary.md
AXTI,2026-03-04,hold,skipped,,,,,action_hold,,,41.76,未来若转多，需要看到价格在36.50-37.00美元支撑区域有效企稳（例如连续两日收盘站稳该区域上方），且同时伴随地缘政治风险出现缓和迹象或半导体板块整体止跌回升。,36.5,37.0,36.5,backtest\output\0420-1205-AXTI\reports\2026-0304-AXTI\2_decision\summary.md
AXTI,2026-03-05,hold,skipped,,,,,action_hold,,,39.13,当前建议为保持观望，暂不出手。若未来转为偏多，需观察价格能否在35.08-37.90美元支撑区域有效企稳并出现反弹信号，或等待宏观风险出现确定性缓和。,35.08,37.9,29.0,backtest\output\0420-1205-AXTI\reports\2026-0305-AXTI\2_decision\summary.md
AXTI,2026-03-06,hold,skipped,,,,,action_hold,,,38.79,当前不建议入场。未来若转多，需看到价格在29.68-35.08美元支撑带内出现明确的企稳反弹信号，且宏观情绪同步改善。,29.68,35.08,28.43,backtest\output\0420-1205-AXTI\reports\2026-0306-AXTI\2_decision\summary.md
AXTI,2026-03-09,hold,skipped,,,,,action_hold,,,32.37,当前建议观望。若未来转为偏多，需看到以下条件之一：1) 地缘政治风险显著消退，且股价放量收复38.8-40美元阻力区；或 2) 股价回调至28-30美元关键区域并出现明确的缩量企稳、放量上涨信号。,38.8,40.0,24.58,backtest\output\0420-1205-AXTI\reports\2026-0309-AXTI\2_decision\summary.md
AXTI,2026-03-10,hold,skipped,,,,,action_hold,,,38.56,当前不建议入场。未来若转多，需看到价格在33.00-34.00美元关键支撑区域出现缩量企稳（如长下影线、RSI拐头向上）的确认信号，或宏观风险显著消退后板块情绪回暖。,33.0,34.0,31.55,backtest\output\0420-1205-AXTI\reports\2026-0310-AXTI\2_decision\summary.md
AXTI,2026-03-11,hold,skipped,,,,,action_hold,,,44.3,当前不建议入场。未来若考虑转多，需同时满足两个条件：1) 宏观地缘政治风险出现明确缓和迹象；2) 股价出现可执行的技术信号，例如放量突破47.03-50.46美元阻力区，或回调至39.70-38.00美元支撑区间并出现企稳信号。,47.03,50.46,37.0,backtest\output\0420-1205-AXTI\reports\2026-0311-AXTI\2_decision\summary.md
AXTI,2026-03-12,hold,skipped,,,,,action_hold,,,47.36,当前不建议入场。未来若转多，需看到价格有效回调至关键支撑区（如41.65-40.0美元）并出现企稳迹象，同时宏观风险有所缓解。,40.0,41.65,,backtest\output\0420-1205-AXTI\reports\2026-0312-AXTI\2_decision\summary.md
AXTI,2026-03-13,hold,skipped,,,,,action_hold,,,46.73,当前不建议入场。未来若转为看多，需要看到以下条件之一：1) 宏观风险缓解且股价在38.50-42.41美元支撑区明确企稳；或 2) 放量突破并站稳前高50.97美元。,38.5,42.41,38.5,backtest\output\0420-1205-AXTI\reports\2026-0313-AXTI\2_decision\summary.md
AXTI,2026-03-16,hold,skipped,,,,,action_hold,,,48.86,未来若转多，需同时满足：1）宏观风险（美联储、地缘政治）出现明确缓和信号；2）价格在38.50-40.00美元核心支撑带或43.50美元（10日EMA）附近出现缩量企稳迹象；或3）价格放量突破前高51.98美元确认趋势延续。,38.5,40.0,35.0,backtest\output\0420-1205-AXTI\reports\2026-0316-AXTI\2_decision\summary.md
AXTI,2026-03-17,hold,skipped,,,,,action_hold,,,48.39,未来转多需观察两个信号之一：1) 价格回调至44.87-43.66美元支撑区间并出现企稳迹象；或 2) 价格放量突破52.70美元前高阻力。目前尚未满足任一条件。,43.66,44.87,38.67,backtest\output\0420-1205-AXTI\reports\2026-0317-AXTI\2_decision\summary.md
AXTI,2026-03-18,hold,skipped,,,,,action_hold,,,44.36,当前不建议入场。未来若转向积极，需观察两个条件：一是价格回调至36.50-40.00美元支撑区间并出现企稳信号（如日线级别阳线吞噬、RSI底背离）；二是宏观地缘风险出现明确缓和迹象。,36.5,40.0,32.26,backtest\output\0420-1205-AXTI\reports\2026-0318-AXTI\2_decision\summary.md
AXTI,2026-03-19,hold,skipped,,,,,action_hold,,,48.76,当前不建议入场。未来若转多，需要看到价格出现健康回调（如接近50日SMA附近）并出现企稳信号，或带量突破51.98美元关键阻力。,,,29.7,backtest\output\0420-1205-AXTI\reports\2026-0319-AXTI\2_decision\summary.md
AXTI,2026-03-20,buy_on_pullback,triggered,2026-04-02,44.52,2026-04-07,45.46,window_end,5.0,2.1114,58.09,用户当前无持仓，更适合回调参与。等待价格回调至44.36-45.50美元（近期平台支撑与10日EMA附近）区间企稳后分批介入。若回调更深，可关注38.56-39.13美元（中期强支撑）区域的企稳机会。,44.36,45.5,38.5,backtest\output\0420-1205-AXTI\reports\2026-0320-AXTI\2_decision\summary.md
