ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,quantity,exit_signal_date,exit_signal_action,report_path
AAOI,2026-03-02,buy_on_pullback,expired,,,,,entry_not_triggered,,,84.23,等待价格回调至10日EMA（约65美元）附近企稳，或更深回调至跳空缺口上沿与前期平台（53-56美元）区域，伴随成交量显著萎缩和RSI从超买区回落至70以下后，可分批参与。,53.0,56.0,42.82,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round30\reports\AAOI\0424-2213-AAOI\reports\2026-0302-AAOI\2_decision\summary.md
AAOI,2026-03-03,buy_on_pullback,expired,,,,,entry_not_triggered,,,102.51,等待价格回调至56-70美元区间（前期平台56.27-58.12美元与10日EMA 70.88美元之间），并出现RSI回落至50-60区间、成交量温和收敛、价格企稳止跌信号后分批参与。,56.0,70.0,44.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round30\reports\AAOI\0424-2213-AAOI\reports\2026-0303-AAOI\2_decision\summary.md
AAOI,2026-03-04,buy_on_pullback,expired,,,,,entry_not_triggered,,,95.34,回调至84.2美元（2月27日跳空收盘价）附近出现企稳信号（如日线收阳、成交量萎缩、RSI回落至60以下）后分批参与；或等待更深度回调至76.1美元（10日EMA动态支撑）与56.3-58.1美元（中期平台支撑）区间阶梯式低吸。,56.3,58.1,84.2,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round30\reports\AAOI\0424-2213-AAOI\reports\2026-0304-AAOI\2_decision\summary.md
AAOI,2026-03-05,hold,skipped,,,,,action_hold,,,99.71,当前无新买入计划。对于现有持仓，建议在价格反弹至104-110美元区间分批减仓，或设置动态止损于92.22美元下方。,104.0,110.0,65.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round30\reports\AAOI\0424-2213-AAOI\reports\2026-0305-AAOI\2_decision\summary.md
AAOI,2026-03-06,buy_on_pullback,triggered,2026-03-09,93.8,2026-03-19,89.13,sell_signal,10.0,-4.9787,101.14,回调至92.00-93.80美元（近期震荡区间下沿）区域企稳后分批参与；若回调更深，可在83.00-85.00美元（10日EMA与巨量阳线突破缺口重合区域）加仓介入。,92.0,93.8,83.0,1,2026-03-18,sell,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round30\reports\AAOI\0424-2213-AAOI\reports\2026-0306-AAOI\2_decision\summary.md
AAOI,2026-03-09,buy_on_pullback,triggered,2026-03-20,85.0,2026-03-31,80.0,stop_loss,11.0,-5.8824,95.58,等待股价回调至80-85美元区域并出现缩量企稳信号（如小阳线或锤头线）后，分批介入；或等待股价放量突破并站稳110美元阻力后右侧追入。,80.0,85.0,80.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round30\reports\AAOI\0424-2213-AAOI\reports\2026-0309-AAOI\2_decision\summary.md
AAOI,2026-03-10,buy_on_pullback,triggered,2026-03-13,95.0,2026-03-30,84.0,stop_loss,17.0,-11.5789,110.62,等待回调至84-95美元支撑区间，重点关注95美元（近期震荡区间下沿）和84美元（突破起涨点）附近，待出现企稳或缩量止跌信号后分批参与。,84.0,95.0,84.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round30\reports\AAOI\0424-2213-AAOI\reports\2026-0310-AAOI\2_decision\summary.md
AAOI,2026-03-11,buy_on_pullback,triggered,2026-03-12,105.0,2026-03-13,95.0,stop_loss,1.0,-9.5238,120.49,回调至95-105美元区间（3月6日低点95.58、10日EMA约100美元、2月27日巨量收盘价84美元之上形成的多重支撑带），待出现缩量止跌或企稳信号后分批轻仓介入。,95.0,105.0,95.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round30\reports\AAOI\0424-2213-AAOI\reports\2026-0311-AAOI\2_decision\summary.md
AAOI,2026-03-12,buy_on_pullback,expired,,,,,pre_entry_invalidation,,,127.01,第一建仓区间为110-112美元（近期突破位/3月9日高点与3月10日低点区域）；若回调加深，第二建仓区间为95-99美元（跳空缺口上沿与整数关口）。建议分批轻仓，首仓不超过计划仓位的一半。,110.0,112.0,95.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round30\reports\AAOI\0424-2213-AAOI\reports\2026-0312-AAOI\2_decision\summary.md
AAOI,2026-03-13,buy_on_pullback,triggered,2026-03-16,95.0,2026-04-24,162.17,window_end,39.0,70.7053,106.19,等待价格回调至80.00-95.00美元区间，出现企稳信号（如缩量小K线、RSI在50附近获得支撑）后分批参与。若价格强势突破128.96美元历史高点并放量站稳，则可考虑追涨参与。,80.0,95.0,55.51,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round30\reports\AAOI\0424-2213-AAOI\reports\2026-0313-AAOI\2_decision\summary.md
