ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,quantity,exit_signal_date,exit_signal_action,report_path
2513.HK,2026-03-02,sell,skipped,,,,,action_sell_no_position,,,575.0,对于已有持仓，建议利用任何向阻力区（670-700港元）的反弹进行减仓或离场。未持仓者不应在此阶段建立新的多头仓位。,670.0,700.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0302-2513HK\2_decision\summary.md
2513.HK,2026-03-03,sell,skipped,,,,,action_sell_no_position,,,550.0,（已有持仓视角）考虑在价格反弹至600-630港元阻力区域附近减仓；若价格直接下跌，以有效跌破525-540港元关键支撑区域作为进一步减仓或止损的信号。,600.0,630.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0303-2513HK\2_decision\summary.md
2513.HK,2026-03-04,hold,skipped,,,,,action_hold,,,528.0,当前不急于参与。若未来价格能在关键支撑区域（如402-430港元）出现明确的企稳反弹信号，且宏观风险缓和，可考虑转为偏多。若价格放量跌破关键支撑或宏观风险加剧，则可能转向偏空。,402.0,430.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0304-2513HK\2_decision\summary.md
2513.HK,2026-03-05,sell,skipped,,,,,action_sell_no_position,,,510.0,对于已有持仓，建议利用任何向578-592港元阻力区域的反弹机会减仓；或设置紧密止损于495港元下方。,578.0,592.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0305-2513HK\2_decision\summary.md
2513.HK,2026-03-06,hold,skipped,,,,,action_hold,,,520.0,当前不急于建立新仓位。若未来价格在500-510港元支撑区出现明确的缩量企稳K线组合（如晨星、看涨吞没），可考虑转为偏多观察。若价格放量突破并站稳560港元，则上行空间可能打开。,500.0,510.0,560.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0306-2513HK\2_decision\summary.md
2513.HK,2026-03-09,sell,skipped,,,,,action_sell_no_position,,,532.0,不提供新的买入计划。对于已有持仓，建议利用任何向阻力区（如580-600港元）的反弹机会减仓，或直接设定止损位离场。,580.0,600.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0309-2513HK\2_decision\summary.md
2513.HK,2026-03-10,hold,skipped,,,,,action_hold,,,575.0,当前不急于参与。若未来价格带量突破625美元阻力，可考虑转为偏多思路；若放量跌破500美元支撑，则需转向防守。,,,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0310-2513HK\2_decision\summary.md
2513.HK,2026-03-11,sell,skipped,,,,,action_sell_no_position,,,649.0,已有持仓者应考虑减仓或止损以控制风险暴露。不建议在此环境下建立任何新的多头仓位。,,,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0311-2513HK\2_decision\summary.md
2513.HK,2026-03-12,sell,skipped,,,,,action_sell_no_position,,,609.5,对于已有持仓者，建议利用任何向650-670美元阻力区域的反弹进行减仓，以控制风险暴露。,650.0,670.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0312-2513HK\2_decision\summary.md
2513.HK,2026-03-13,sell,skipped,,,,,action_sell_no_position,,,555.5,对于已有持仓，建议利用任何向技术阻力位（如610-628港元区间）的反弹进行减仓，以降低风险敞口。,610.0,628.0,1.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0313-2513HK\2_decision\summary.md
2513.HK,2026-03-16,hold,skipped,,,,,action_hold,,,530.0,当前不急于建立新仓位。若未来价格能放量突破并站稳582-600美元阻力区，可考虑趋势转强；若价格跌至425-450美元（布林带下轨与均线区）并出现明确企稳信号，可评估多头机会。,582.0,600.0,500.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0316-2513HK\2_decision\summary.md
2513.HK,2026-03-17,hold,skipped,,,,,action_hold,,,605.0,当前不急于参与。若未来价格放量突破725.0港元并站稳，可考虑趋势跟随；或若价格回调至510-528港元更强支撑区并出现企稳信号，可结合当时基本面消息轻仓评估。,510.0,528.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0317-2513HK\2_decision\summary.md
2513.HK,2026-03-18,hold,skipped,,,,,action_hold,,,621.5,当前不急于建立新仓位。若未来价格带量突破708美元，可考虑趋势跟随；或若价格回调至550-560美元支撑区域并出现企稳信号，可评估宏观环境后考虑分批介入。,550.0,560.0,550.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0318-2513HK\2_decision\summary.md
2513.HK,2026-03-19,buy_on_pullback,triggered,2026-03-20,620.0,2026-04-02,779.0,window_end,13.0,25.6452,742.5,等待价格回调至关键支撑区域分批介入。重点关注两个区间：1）620-600美元区域（测试10日EMA及近期低点）；2）560-555美元区域（中期强支撑平台）。在区间内出现企稳信号时参与。,600.0,620.0,555.5,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0319-2513HK\2_decision\summary.md
2513.HK,2026-03-20,hold,skipped,,,,,action_hold,,,659.0,当前不急于参与。若未来价格放量突破765.0美元前高，可能意味着短期调整结束和上涨趋势重启，可考虑转向偏多。若价格有效跌破560.0-575.0美元强支撑区域，则下行风险加剧，应转向防守。,560.0,575.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0320-2513HK\2_decision\summary.md
2513.HK,2026-03-23,hold,skipped,,,,,action_hold,,,630.5,当前不急于参与。若未来价格能放量突破765.0美元前高，可能意味着整理结束和趋势重启，可考虑转多。若价格放量跌破555.5美元关键支撑，则中期结构破坏，应转向防御。,,,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0323-2513HK\2_decision\summary.md
2513.HK,2026-03-24,hold,skipped,,,,,action_hold,,,590.0,当前不急于参与。若转多，需价格在555-570美元支撑区企稳（如出现缩量十字星或阳线反包）并伴随成交量放大。若转空，需价格放量跌破510美元支撑。,555.0,570.0,510.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0324-2513HK\2_decision\summary.md
2513.HK,2026-03-25,buy_on_pullback,expired,,,,,entry_not_triggered,,,655.0,等待价格回调至590.0-630.0美元区间企稳后分批参与。,590.0,630.0,555.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0325-2513HK\2_decision\summary.md
2513.HK,2026-03-26,hold,skipped,,,,,action_hold,,,760.0,当前不急于参与。若未来价格放量突破765美元且宏观风险缓和，可考虑转向偏多。若价格回调至590-600美元关键支撑区域并出现企稳信号，同时宏观面无进一步恶化，也可评估偏多机会。,590.0,600.0,550.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0326-2513HK\2_decision\summary.md
2513.HK,2026-03-27,hold,skipped,,,,,action_hold,,,684.0,当前不急于参与。若未来价格在600-650美元支撑区间内出现明确的企稳回升信号（例如日线收盘站稳655美元上方且RSI拐头向上），可考虑转为偏多。若股价放量突破765-790美元阻力区且宏观风险缓和，也可视为趋势强化信号。,600.0,650.0,600.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0327-2513HK\2_decision\summary.md
2513.HK,2026-03-30,hold,skipped,,,,,action_hold,,,668.0,当前不急于参与。若未来价格放量突破790美元阻力，可能转为偏多。若价格回调至590-555美元强支撑区域并出现企稳信号，可评估是否具备“择机买入”条件。,555.0,590.0,555.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0330-2513HK\2_decision\summary.md
2513.HK,2026-03-31,buy_on_pullback,expired,,,,,entry_not_triggered,,,733.5,等待价格回调至关键支撑区间企稳后分批介入。首要关注668.0-659.0美元区域（近期低点及10日EMA附近），其次关注630.0-605.0美元区域（中期支撑平台）。,659.0,668.0,600.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0331-2513HK\2_decision\summary.md
2513.HK,2026-04-01,buy_on_pullback,expired,,,,,entry_not_triggered,,,693.5,等待价格回调至650-620港元支撑区间企稳后分批介入。,620.0,650.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0401-2513HK\2_decision\summary.md
2513.HK,2026-04-02,buy_on_pullback,no_data,,,,,no_future_bars,,,915.0,等待价格回调至关键支撑区域企稳后参与。优先关注730.0-750.0港元区域（包含10日EMA及近期突破位），次选680.0-700.0港元区域。,730.0,750.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round18\reports\2513.HK\0423-0123-2513HK\reports\2026-0402-2513HK\2_decision\summary.md
